File Name,Quantity List
"MUSHROOM,_OTHER_VARIETIES_9340.html","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.01', -1, -1, '0.01\xa0—\xa01.7', -1, -1, '0.2\xa0—\xa00.6', '0.1\xa0—\xa00.4', -1, -1, '0.02\xa0—\xa00.8', -1, -1, -1, -1, '0.03\xa0—\xa00.09', '0.04\xa0—\xa00.4', '0.1\xa0—\xa02.4', '0.8\xa0—\xa09', -1, -1, -1, -1, '0.005\xa0—\xa00.1', -1, -1, -1, -1, -1, -1, -1, -1, '0.02\xa0—\xa03.7', -1, '0.06', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.01\xa0—\xa00.1', -1, -1, -1, -1, -1, -1, -1, -1, '0.003', -1, '0.04\xa0—\xa00.5', -1, -1, '0.1\xa0—\xa00.3', -1, '0.1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '13\xa0—\xa020', '9\xa0—\xa014', -1, '1.5\xa0—\xa02.5', '0.04', -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.02\xa0—\xa00.6', -1, -1, '0.04\xa0—\xa00.8', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.005', -1, '0.01', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.003\xa0—\xa00.005', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.01\xa0—\xa00.05', -1, -1, '7\xa0—\xa011', -1, -1, -1, '3.5\xa0—\xa05', '1\xa0—\xa01.5', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'trace', '0.5\xa0—\xa020', -1, '2.9\xa0—\xa011.6', '0.15\xa0—\xa00.3', '0.15', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
KALAHARI_TRUFFLE_(Tuber_oligospermum)_19885.html,"[-1, -1, -1, -1]"
WHITE_ALBA_TRUFFLE_(Tuber_magnatum_pico)_19820.html,"['0.01\xa0—\xa00.73', '0.02\xa0—\xa00.68', '0.01\xa0—\xa00.15', -1, -1, -1, -1, '0.02\xa0—\xa02.33', -1, '0.01\xa0—\xa00.51', '0.01\xa0—\xa00.06', '0.03\xa0—\xa09.09', -1, -1, -1, -1, -1, -1, '0.00609', '0.0586', -1, '<0.000001\xa0—\xa01.05', '0.05\xa0—\xa05.06', '0.02\xa0—\xa04.38', '0.01\xa0—\xa01.71', '0.45\xa0—\xa03.91', '0.04\xa0—\xa02.13', '0.01\xa0—\xa00.15', -1, '0.01\xa0—\xa010.09', -1, '0.202', -1, '0.00113', -1, -1, -1, -1, '0.0215', '0.0143', '0.00677', -1, -1, -1, -1, -1, -1, -1, '3.22', -1, -1, '0.02\xa0—\xa00.83', '0.00049', -1, -1, '0.0604', '0.06\xa0—\xa04.61', '0.00808\xa0—\xa05.22', '9.8\xa0—\xa088.83', -1, -1, '0.0037', '0.347', '0.0157', -1, -1, -1, -1, '0.000041', -1, -1, '0.0142', -1, -1, '0.01\xa0—\xa00.19', '0.0199']"
TUBER_excavatum_19860.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
AGARICUS_(=_Psalliota)_varieties_9310.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 'trace', -1, -1, -1, -1, '0.5\xa0—\xa01.5', -1, -1, '1.1\xa0—\xa04.8', '7.8\xa0—\xa0100', -1, -1, 'trace', 'trace', '0.06', -1, -1, -1, -1, -1, '0.23', -1, -1, '1.8', -1, -1, -1, '0.02\xa0—\xa015.8', -1, '0.4\xa0—\xa08.7', '0.7', 'trace', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.05', -1, -1]"
WINTER_TRUFFLE_(Tuber_brumale)_19880.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
BOLETUS_EDULIS_(dried)_9320.html,"['0.1', '0.2', '0.3', '0.2', '0.1', -1, -1, '1.5', '0.4', '0.2', '0.3', -1, -1, -1, -1, -1, -1, -1, '0.01', -1, -1, -1, -1, '153', '4.4', '4.3', '1.9', '13', '0.6', '7.3', '0.7', -1, '1.2', '1.4', -1, '1', -1, -1, -1, -1, -1, -1, -1, '8', '20', '3', '20', '90', '100', '645', -1, -1, -1, -1, -1, -1, -1, -1, -1, '1', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '0.01', '0.01', '0.01', -1, -1, -1, -1, -1, -1, '0.1', '0.7', '0.1', -1, '0.1', -1, -1, -1, -1, -1, -1]"
HEBELOMA_SACCHARIOLENS_9342.html,[-1]
SUMMER_TRUFFLE_(Tuber_aestivum)_19840.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
BIANCHETTE_TRUFFLE_(Tuber_borchii)_19850.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
SHIITAKE_(Lentinus_edodes_Sing.)_9330.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '4.6', -1, '7.5', -1, '113', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '13', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, '27', '45', -1, '2.3', -1, '1.6', -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
MUSCATEL_TRUFFLE_(Tuber_brumale_var._Moschatum)_19890.html,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
