CAS Number,Compound Name
124-38-9,carbondioxide
75-21-8,"1,2-epoxyethane (=ethylene oxide, oxirane)"
96-09-3,"1-phenyl-1,2-epoxyethane"
5076-19-7,"2,3-epoxy-2-methylbutane (=trimethyloxirane)"
1436-34-6,"1,2-epoxyhexane"
5063-65-0,"1,2-epoxyheptane"
102369-06-2,"2,3-epoxydecanal"
,ocimene oxide
28977-57-3,(E)-epoxy-β-ocimene
33281-83-3,(Z)-epoxy-β-ocimene
94607-48-4,(Z)-ocimene oxide (unkn.str.)
94607-47-3,(E)-ocimene oxide (unkn.str.)
85624-39-1,ocimene epoxide (unkn.str.)
29414-55-9,myrcene epoxide
79468-29-4,myrcene oxide
78307-41-2,3-(3-ethyl-2-oxiranyl)-2-propenal
69511-21-3,"trans-4,5-epoxy- (E)-2-heptenal"
51007-38-6,"trans-2,3-epoxyoctanal"
134452-45-2,"(E)-4,5-epoxy-(E)-2-octenal"
128386-31-2,"(E)-4,5-epoxy-(E)-2-nonenal"
134454-31-2,"trans-(E)-4,5-epoxy-2-decenal"
154002-67-2,"cis-4,5-epoxy-(E)-2-decenal"
188590-62-7,"(E)-4,5-epoxy-2-decenal"
1239976-90-9,"(2E,7Z)-trans-4,5-epoxy-2,7-decadienal"
83637-40-5,(E)-farnesene epoxide
134346-43-3,"(E)-4,5-epoxy-(E)-2-undecenal"
19780-35-9,"ethyl 2,3-epoxybutanoate"
17023-75-5,"4,5-epoxy-p-1-menthene"
2437-97-0,"6,8-epoxy-p-1-menthene (=pinol)"
289-66-7,2H-pyran
,"6,9-epoxy-p-1-menthene"
,"1,2-epoxy-p-4-menthene"
120749-18-0,"1,2:3,4-diepoxy-p-8-menthene"
512-85-6,ascaridole
287968-09-6,trans-ascaridole
6790-83-6,ascaridole glycol
120749-17-9,"1,4-epidioxy-p-2,8-menthadiene"
3720-22-7,"tetrahydro-3,6-dimethyl-2H-pyran-2-one"
4584-23-0,"terpinolene 4,8-oxide"
,"trans-2,3-epoxy-p-8-menthen-1-ol"
,terpinolene oxide (unkn.str.)
60485-46-3,artemiseole
1195-92-2,"limonene 1,2-oxide"
31684-93-2,"limonene 8,9-oxide"
28098-68-2,"(R)-limonene 8,9-endo-epoxide (=cis-limonene 8,9-oxide)"
28098-67-1,"(R)-limonene 8,9-exo-epoxide (=trans-limonene 8,9-oxide)"
,limonene oxide (unkn.str.)
13837-75-7,"cis-limonene 1,2-oxide"
4680-24-4,"(4R)-(+)-cis-limonene-1,2-epoxide"
4959-35-7,"trans-limonene 1,2-oxide"
6909-30-4,"(4R)-(+)-trans-limonene-1,2-epoxide"
96-08-2,limonene diepoxide
19888-33-6,humulene epoxide I
19888-34-7,humulene epoxide II
21624-36-2,humulene epoxide III
,humulene epoxide (unkn.str.)
74282-07-8,"humulene 8,9-epoxide"
120668-49-7,humulene diepoxide 1
120668-50-0,humulene diepoxide 2
120668-51-1,humulene diepoxide 3
120668-52-2,humulene diepoxide 4
,humulene diepoxide II
40822-04-6,humulene diepoxide
142792-93-6,longipinene epoxide
2225-98-1,"carene 3,4-epoxide"
62413-92-7,2-carene epoxide
143785-42-6,"calamenen-1,11-epoxide"
72881-14-2,"menthol 1,2-oxide"
103476-52-4,"(+)-cis-menthol 1,2-oxide"
,"neomenthol 1,2-oxide"
,"cis-1,2-epoxy-4-terpineol"
94133-24-1,cis-piperitol oxide
94133-23-0,trans-piperitol oxide
294634-38-1,isopulegol epoxide
5286-38-4,piperitone oxide
57130-28-6,cis-piperitone oxide
4713-37-5,trans-piperitone oxide
125185-60-6,4-hydroxypiperitone oxide
35178-55-3,piperitenone oxide
,piperitenone epoxide (unkn.str.)
17677-87-1,pulegone oxide
7599-91-9,cis-pulegone oxide
7599-90-8,trans-pulegone oxide
33204-74-9,"carvone 1,2-oxide"
39903-97-4,"cis-carvone 1,2-oxide"
18383-49-8,"trans-carvone 1,2-oxide"
56423-45-1,"carvone 8,9-oxide"
36616-60-1,carvone oxide (unkn.str.)
1686-14-2,"α-pinene oxide (=1,2-epoxypinane)"
6931-54-0,β-pinene oxide
,β-selinene epoxide I
88395-50-0,"(2R,5E)-2,12-epoxycaryophyll-5-ene"
1139-30-6,β-caryophyllene oxide
60594-23-2,cis-caryophyllene oxide
103475-43-0,isocaryophyllene oxide
60479-10-9,"caryophyllene 2,12:5,6-dioxide"
88395-47-5,"4(14)-salvialene 1,5-oxide"
,"endo-4(14)-salvialene 1,5-oxide"
,"exo-4(14)-salvialene 1,5-oxide"
5153-92-4,sclareol oxide
27564-14-3,α-copaene oxide
288393-04-4,α-phellandrene epoxide
,"β-phellandrene-2,3-epoxide"
29597-36-2,α-cedrene epoxide
,β-cedrene epoxide
919286-24-1,di-epi-α-cedrene epoxide
85710-39-0,aromadendrene oxide
85760-81-2,alloaromadendrene oxide
,allo-aromadendrene epoxide
257293-86-0,"1α,10α-epoxy-amorph-4-ene"
64825-84-9,himachalene epoxide
55298-11-8,"1,10-epoxy-valencene"
16409-43-1,rose oxide
876-17-5,cis-rose oxide
876-18-6,trans-rose oxide
16665-10-4,cis-dihydro-rose oxide
140238-79-5,trans-dihydro-rose oxide
92356-06-4,rosefuran epoxide
1786-08-9,nerol oxide
25512-65-6,dihydro-2H-pyran (unkn.str.)
110-87-2,"3,4-dihydro-2H-pyran"
142-68-7,tetrahydropyran
26093-63-0,3-methyltetrahydropyran
100-72-1,tetrahydro-2H-pyran-2-methanol
7392-19-0,"anhydrolinalool oxide (6) (=2,2,6-trimethyl-6-vinyl-tetrahydropyran)"
54928-00-6,"4-hydroxy-2,2,6-trimethyl-6-vinyltetrahydropyran"
14049-11-7,linalool oxide (6)
14009-71-3,"linalool oxide D (cis, 6-ring)"
,"cis-(2S,5S)-linalool oxide (6)"
,"cis-(2R,5R)-linalool oxide (6)"
39028-58-5,"linalool oxide C (trans, 6-ring)"
,"trans-(2S,5R)-linalool oxide (6)"
,"trans-(2R,5S)-linalool oxide (6)"
54927-99-0,"4-acetoxy-2,2,6-trimethyl-6-vinyltetrahydropyran"
15249-35-1,epoxydihydrolinalool
,cis-epoxydihydrolinalool
,trans-epoxydihydrolinalool
,cis-anhydrolinalool oxide (unkn.str.)
,trans-anhydrolinalool oxide (unkn.str.)
1365-19-1,linalool oxide (unkn.str.)
11063-77-7,cis-linalool oxide (unkn.str.)
11063-78-8,trans-linalool oxide (unkn.str.)
,"(R*,R)-6,7-epoxylinalool"
,"(R*,S)-6,7-epoxylinalool"
104069-31-0,"(R*,3R,6R)-epoxylinalool oxide D"
104759-66-2,"(S*,3R,6R)-epoxylinalool oxide D"
104017-68-7,"(S*,3S,6R)-epoxylinalool oxide C"
104069-30-9,"(R*,3S,6R)-epoxylinalool oxide C"
,di(ep)oxylinalool (unkn.str.)
56752-50-2,"trans-linalool oxide (6), acetate"
56779-64-7,"cis-linalool oxide (6), acetate"
,nerolidol oxide (unkn.str.)
,α-bisabolol oxide (unkn.str.)
22567-36-8,α-bisabolol oxide A
26184-88-3,α-bisabolol oxide B
,bisabolol oxide (unkn.str.)
33933-72-1,"2,2,6-trimethyl-6-vinyl-tetrahydro-3-pyrone"
,"2,6,6-trimethyl-2-vinyl-tetrahydro-3-pyrone"
100-73-2,"3,4-dihydro-2H-pyran-2-carbaldehyde"
53897-26-0,"5,6-dihydro-2H-pyran-2-carbaldehyde"
504-31-4,"2-pyrone (=α-pyrone, 2H-pyran-2-one)"
23079-71-2,5-pentyl-2-pyrone
496-64-0,3-hydroxy-2-pyrone
73692-69-0,3-hydroxy-6-methyl-2H-pyran-2-one
771-03-9,3-acetyl-4-hydroxy-6-methyl-2-pyrone
58985-73-2,α-bisabolone oxide A
,α-bisabolone oxide (unkn.str.)
,bisabolone oxide (unkn.str.)
108-97-4,4-pyrone (=γ-pyrone)
118-71-8,maltol
4940-11-8,2-ethyl-3-hydroxy-4-pyrone (=ethyl maltol)
4780-14-7,3-methoxy-2-methyl-4-pyrone
644-46-2,5-hydroxy-2-methyl-4-pyrone
38877-21-3,dihydromaltol
1190108-03-2,dihydroethylmaltol
28564-83-2,"2,3-dihydro-3,5-dihydroxy-6-methyl-4-pyrone (=5,6-dihydro-5-hydroxymaltol)"
1073-96-7,"3,5-dihydroxy-2-methyl-4-pyrone (=5-hydroxymaltol)"
,dimethylpyrone (unkn.str.)
103-75-3,"2-ethoxy-3,4-dihydro-1,2-pyran"
1920-21-4,"3,4-dihydro-2,5-dimethyl-2H-pyran-2-carbaldehyde"
500-05-0,2-oxo-2H-pyran-5-carboxylic acid (=coumalic acid)
,ethyl pyranoate (unkn.str.)
24588-61-2,"methyl 5,6-dihydro-3,4-dimethyl-2H-pyran-6-carboxylate"
130021-99-7,"(E)-cis-4-methyl-2-(3-methyl-1,3-butadienyl)oxepane (=cis-quince oxepane)"
