CAS Number,Compound Name
109-87-5,"1,1-dimethoxymethane"
462-95-3,"1,1-diethoxymethane"
,1-methoxy-1-propoxymethane
2568-90-3,"1,1-dibutoxymethane"
54815-12-2,dihexoxymethane
534-15-6,"1,1-dimethoxyethane (=acetaldehyde dimethyl acetal)"
10471-14-4,1-ethoxy-1-methoxyethane
75677-94-0,1-butoxy-1-methoxyethane
,1-methoxy-1-pentoxyethane
105-57-7,"1,1-diethoxyethane (=acetal, acetaldehyde diethyl acetal)"
629-14-1,"1,2-diethoxyethane"
,"1,1,2-triethoxyethane"
2032-35-1,"2-bromo-1,1-diethoxyethane"
20680-10-8,1-ethoxy-1-propoxyethane
25334-93-4,1-ethoxy-1-isopropoxyethane
6986-51-2,1-ethoxy-1-isobutoxyethane
57006-87-8,1-butoxy-1-ethoxyethane
13602-09-0,1-ethoxy-1-(2-methylbutoxy)ethane
233665-90-2,Acetaldehyde hexyl isoamyl acetal
233665-90-2,Acetaldehyde hexyl isoamyl acetal
233665-90-2,Acetaldehyde hexyl isoamyl acetal
13442-90-5,1-ethoxy-1-(3-methylbutoxy)ethane
13442-89-2,1-ethoxy-1-pentoxyethane
54484-73-0,1-ethoxy-1-hexoxyethane
54484-66-1,1-ethoxy-1-(2-hexenoxy)ethane
88683-94-7,1-ethoxy-1-(3-hexenoxy)ethane
28069-74-1,(Z)-1-ethoxy-1-(3-hexenoxy)ethane
54889-49-5,1-ethoxy-1-octoxyethane
66222-24-0,1-benzyloxy-1-ethoxyethane
2556-10-7,1-ethoxy-1-phenethoxyethane
105-82-8,"1,1-dipropoxyethane"
54340-90-8,1-hexoxy-1-methoxyethane
,1-pentoxy-1-propoxyethane
238757-63-6,1-(3-methylbutoxy)-1-propoxyethane
75048-15-6,1-isobutoxy-1-(3-methylbutoxy)ethane
871-22-7,"1,1-dibutoxyethane"
5669-09-0,"1,1-diisobutoxyethane"
77249-20-8,1-butoxy-1-(2-methylbutoxy)ethane
238757-27-2,1-butoxy-1-(3-methylbutoxy)ethane
,1-butoxy-1-pentoxyethane
,1-butoxy-1-hexoxyethane
13535-43-8,"1,1-bis(2-methylbutoxy)ethane"
13548-84-0,1-(2-methylbutoxy)-1-(3-methylbutoxy)ethane
,"1,1-bis(methylbutoxy)ethane (unkn.str.)"
,1-hexoxy-1-(2-methylbutoxy)ethane
,1-(2-methylbutoxy)-1-phenethoxyethane
13002-09-0,"1,1-diisopentoxyethane"
