CAS Number,Compound Name
2425-77-6,2-hexyl-1-decanol
67-56-1,methanol
4457-71-0,"3-methyl-1,5-pentanediol"
,lyoniresinol (unkn. str.)
57-88-5,cholesterol
100-49-2,cyclohexanemethanol
64-17-5,ethanol
3133-01-5,1-tricosanol
1559-35-9,2-(2-ethylhexyloxy)ethanol
109-86-4,2-methoxyethanol (=ethylene glycol monomethyl ether)
110-80-5,2-ethoxyethanol (=ethylene glycol monoethyl ether)
112-50-5,2(2(2-ethoxy)ethoxy)ethoxyethanol
2807-30-9,2-propoxyethanol
109-59-1,2-isopropoxyethanol
111-76-2,2-butoxyethanol
4439-24-1,2-isobutoxyethanol
621-63-6,"2,2-diethoxyethanol"
2136-70-1,2-(tetradecyloxy)ethanol
54446-78-5,1-(2-butoxyethoxy)ethanol
2136-72-3,2-(octadecyloxy)ethanol
,butoxy-ethoxyethanol (unkn.str.)
4442-79-9,cyclohexaneethanol
122-99-6,"2-phenoxyethanol (=ethylene glycol monophenyl ether, phenylglycol)"
119417-97-9,2-(4-prenyloxyphenyl)ethanol
141-43-5,2-aminoethanol (=ethanolamine)
109-83-1,2-(methylamino)ethanol
108-01-0,2-(dimethylamino)ethanol
100-37-8,2-(diethylamino)ethanol
107-21-1,"1,2-ethanediol (=ethylene glycol, glycol)"
3055-98-9,octaethylene glycol monododecyl ether
93-56-1,"1-phenyl-1,2-ethanediol (=styrene glycol)"
90528-63-5,"2,3-Epoxyhexanol"
71-23-8,1-propanol (=propyl alcohol)
78-91-1,2-amino-1-propanol
111-35-3,3-ethoxy-1-propanol
19089-47-5,2-ethoxy-1-propanol
4169-04-4,2-phenoxy-1-propanol
6180-61-6,3-phenoxy-1-propanol
67-63-0,2-propanol (=isopropyl alcohol)
5877-42-9,4-ethyl-1-octyn-3-ol
78-96-6,1-amino-2-propanol
4043-59-8,"1,3-diethoxy-2-propanol"
13021-49-3,1-ethoxy-3-propoxy-2-propanol
107-18-6,2-propen-1-ol (=allyl alcohol)
107-19-7,2-propyn-1-ol
78-83-1,2-methyl-1-propanol (=isobutanol)
125289-66-9,3-(4-prenyloxyphenyl)propanol
142-50-7,d-nerolidol
74841-81-9,trans-cycloisolongifol-5-ol
75-65-0,2-methyl-2-propanol (=tert-butanol)
,2-methylpropanol (unkn.str.)
13398-94-2,3-hydroxybenzeneethanol
57566-26-4,isolongifolan-7-α-ol
107-98-2,1-methoxy-2-propanol
2517-43-3,3-methoxybutanol
1569-02-4,1-ethoxy-2-propanol
513-42-8,2-methyl-2-propen-1-ol (=β-methallyl alcohol)
163634-05-7,(E)-3-(4-prenyloxyphenyl)-2-propenol
75-84-3,"2,2-dimethyl-1-propanol"
57-55-6,"1,2-propanediol (=propylene glycol)"
504-63-2,"1,3-propanediol"
558-43-0,"2-methylpropane-1,2-diol"
56-81-5,"glycerol (=1,2,3-propanetriol, glycerin)"
71-36-3,1-butanol
78-92-2,2-butanol (=sec-butanol)
14898-79-4,(R)-2-butanol
4221-99-2,(S)-2-butanol
217650-27-6,cis-cadin-4-en-7-ol
6117-91-5,"2-buten-1-ol (=crotyl alcohol, crotonyl alcohol)"
504-61-0,(E)-2-buten-1-ol
627-27-0,3-buten-1-ol
598-32-3,3-buten-2-ol
57323-59-8,butenol (unkn.str.)
137-32-6,2-methyl-1-butanol (=active amyl alcohol)
616-16-0,(R)-2-methyl-1-butanol
1565-80-6,(S)-2-methyl-1-butanol
123-51-3,3-methyl-1-butanol (=isoamyl alcohol)
72203-99-7,gleenol
75-85-4,2-methyl-2-butanol (=tert-amyl alcohol)
598-75-4,3-methyl-2-butanol
,methylbutanol (unkn.str.)
53778-73-7,1-methoxy-2-butanol
53778-72-6,3-methoxy-2-butanol
4161-24-4,4-butoxy-1-butanol
4675-87-0,2-methyl-2-buten-1-ol
497-02-9,(E)-2-methyl-2-buten-1-ol (=tiglic alcohol)
4516-90-9,2-methyl-3-buten-1-ol
556-82-1,3-methyl-2-buten-1-ol (=prenol)
87-89-8,inositol
68-26-8,retinol
65-23-6,pyridoxine
83-88-5,riboflavin
472-61-7,astaxanthin
763-32-6,3-methyl-3-buten-1-ol
79144-27-7,3-methyl-1-buten-2-ol
115-18-4,2-methyl-3-buten-2-ol
10473-14-0,3-methyl-3-buten-2-ol
60766-00-9,methylbutenol (unkn.str.)
115-19-5,2-methyl-3-butyn-2-ol
97-95-0,2-ethyl-1-butanol
594-60-5,"2,3-dimethyl-2-butanol"
464-07-3,"3,3-dimethyl-2-butanol"
584-03-2,"1,2-butanediol"
107-88-0,"1,3-butanediol"
2568-33-4,"3-methyl-1,3-butanediol"
110-63-4,"1,4-butanediol"
513-85-9,"2,3-butanediol (=2,3-butylene glycol)"
24347-58-8,"levo-2,3-butanediol"
19132-06-0,"dextro-2,3-butanediol"
6982-25-8,"threo-2,3-butanediol"
5341-95-7,"meso-2,3-butanediol"
76-09-5,"2,3-dimethyl-2,3-butanediol (=pinacol)"
149-32-6,"(2R,3S)-1,2,3,4- butanetetraol (= erythritol)"
71-41-0,1-pentanol (=amyl alcohol)
6032-29-7,2-pentanol
3970-62-5,"2,2-dimethylpentan-3-ol"
31087-44-2,(R)-2-pentanol
26184-62-3,(S)-2-pentanol
584-02-1,3-pentanol
26635-63-2,sec-pentanol (unkn.str.) (=2(or 3)-pentanol)
30899-19-5,pentanol (unkn.str.)
20273-24-9,2-penten-1-ol
1576-95-0,(Z)-2-penten-1-ol
1576-96-1,(E)-2-penten-1-ol
39161-19-8,3-penten-1-ol
764-38-5,(Z)-3-penten-1-ol
764-37-4,(E)-3-penten-1-ol
821-09-0,4-penten-1-ol
625-31-0,4-penten-2-ol
1569-50-2,3-penten-2-ol
3899-34-1,(E)-3-penten-2-ol
616-25-1,1-penten-3-ol
38553-82-1,2-penten-3-ol
57643-02-4,(Z)-2-penten-3-ol
,penten-1-ol (unkn.str.)
77035-93-9,penten-3-ol (unkn.str.)
11098-57-0,pentenol (unkn.str.)
105-30-6,2-methyl-1-pentanol
589-35-5,3-methyl-1-pentanol
626-89-1,4-methyl-1-pentanol
590-36-3,2-methyl-2-pentanol
565-60-6,3-methyl-2-pentanol
108-11-2,4-methyl-2-pentanol
565-67-3,2-methyl-3-pentanol
77-74-7,3-methyl-3-pentanol
69203-06-1,methylpentanol (unkn.str.)
763-89-3,4-methyl-3-penten-1-ol
62238-37-3,2-methyl-3-penten-1-ol
22508-64-1,4-methyl-4-penten-1-ol
63468-05-3,2-methyl-3-penten-2-ol
2088-07-5,2-methyl-1-penten-3-ol
918-85-4,3-methyl-1-penten-3-ol
4798-45-2,4-methyl-1-penten-3-ol
27522-11-8,2-ethyl-1-pentanol
,ethyl-1-pentanol (unkn.str.)
597-49-9,3-ethyl-3-pentanol
2370-12-9,"2,2-dimethyl-1-pentanol"
600-36-2,"2,4-dimethyl-3-pentanol"
625-06-9,"2,4-dimethyl-2-pentanol"
,"2,4-dimethylpentanol (unkn.str.)"
6570-87-2,"3,4-dimethyl-1-pentanol"
38514-13-5,3-ethyl-4-methyl-1-pentanol
106-67-2,2-ethyl-4-methyl-1-pentanol
14202-62-1,"2,2-diethyl-1-pentanol"
123-44-4,"2,2,4-trimethyl-1-pentanol"
625-69-4,"2,4-pentanediol"
107-41-5,"2-methyl-2,4-pentanediol"
111-27-3,1-hexanol
626-93-7,2-hexanol
26549-24-6,(R)-2-hexanol
52019-78-0,(S)-2-hexanol
623-37-0,3-hexanol
25917-35-5,hexanol (unkn.str.)
2305-21-7,2-hexen-1-ol
7319-23-5,"3-hexene-2,5-diol"
928-95-0,(E)-2-hexen-1-ol
928-94-9,(Z)-2-hexen-1-ol
544-12-7,3-hexen-1-ol
928-96-1,(Z)-3-hexen-1-ol (=leaf alcohol)
928-97-2,(E)-3-hexen-1-ol
6126-50-7,4-hexen-1-ol
928-91-6,(Z)-4-hexen-1-ol
