CAS Number,Compound Name
826337-64-8,2-methyl-3-methylidenecyclopentane-1-carbaldehyde
67-64-1,"acetone (=2-propanone, dimethyl ketone)"
,"2,2-dimethyl-1-[2-(2-methyl-2-propanyl)cyclopropyl]-1-propanone"
116-09-6,"1-hydroxy-2-propanone (=acetol, pyruvic alcohol)"
5878-19-3,1-methoxy-2-propanone
5774-26-5,"1,1-diethoxy-2-propanone"
78-93-3,2-butanone (=ethyl methyl ketone)
109-49-9,Hex-5-en-2-one
23696-85-7,"1-(2,6,6-Trimethylcyclohexa-1,3-dienyl)-2-buten-1-one"
69050-59-5,"4-(5-hydroxy-2,6,6-trimethyl-1-cyclohexen-1-yl)-3-buten-2-one"
78-94-4,3-buten-2-one
563-80-4,3-methyl-2-butanone
41702-60-7,"2-methyl-6-methylene-1,7-octadien-3-one"
814-78-8,3-methyl-3-buten-2-one
75-97-8,"2,2-dimethyl-3-butanone"
5077-67-8,1-hydroxy-2-butanone
30557-76-7,khusimone
513-86-0,3-hydroxy-2-butanone (=acetoin)
53584-56-8,(R)-3-hydroxy-2-butanone
78183-56-9,(S)-3-hydroxy-2-butanone
590-90-9,4-hydroxy-2-butanone
29994-40-9,hydroxy-2-butanone (unkn.str.)
1679-38-5,3-ethoxy-2-butanone
60044-74-8,4-ethoxy-2-butanone
115-22-0,3-hydroxy-3-methyl-2-butanone
51933-13-2,"3,3-diethoxy-2-butanone"
6672-30-6,(R)-(+)-3-methylcyclopentanone
20082-91-1,"4,4-diethoxy-2-butanone"
431-03-8,"2,3-butanedione (=diacetyl)"
17429-35-5,"4-ethyl-3,4-dimethyl-2,5-cyclohexadien-1-one"
55162-56-6,"4,4-dimethyl-3-phenyl-2,5-cyclohexadien-1-one"
107-87-9,2-pentanone
4359-77-7,3-methylene-2-pentanone
3470-54-0,5-aminoindan-1-one
13909-73-4,"1-(2,3,4-trimethoxyphenyl)-ethanone"
,2-(2-butoxyethoxy)ethanone
451-40-1,"1,2-diphenylethanone"
96-22-0,3-pentanone
625-33-2,3-penten-2-one
70987-82-5,"1-(1,2-dimethyl-cyclopent-2-enyl)-ethanone"
3102-33-8,(E)-3-penten-2-one
3102-32-7,(Z)-3-penten-2-one
13891-87-7,4-penten-2-one
1629-58-9,1-penten-3-one
1890-28-4,"1,4-pentadien-3-one"
