CAS Number,Compound Name
29106-49-8,procyanidin B2
27208-80-6,trans-piceid
108-95-2,phenol
95-48-7,2-methylphenol (=o-cresol)
876-20-0,"2,5-diethylphenol"
7295-85-4,catechin
17334-50-8,epicatechin
154-23-4,(+)-catechin
490-46-0,(-)-epicatechin
970-73-0,(+)-gallocatechin
970-74-1,(-)-epigallocatechin
20315-25-7,procyanidin B1
148766-36-3,cis-piceid
,epigallocatechin (unkn.str.)
,gallocatechin (unkn.str.)
108-39-4,3-methylphenol (=m-cresol)
106-44-5,4-methylphenol (=p-cresol)
1319-77-3,methylphenol (mixture)
90-00-6,2-ethylphenol
620-17-7,3-ethylphenol
123-07-9,4-ethylphenol
29471-88-3,ethylphenol (unkn.str.)
88-18-6,2-tertbutyl-phenol
585-34-2,3-tertbutyl-phenol
98-54-4,4-tert-butylphenol
539-15-1,4-[2-(dimethylamino)ethyl]phenol (=hordenine)
695-84-1,2-vinylphenol
2628-17-3,4-vinylphenol
31257-96-2,vinylphenol (unkn.str.)
644-35-9,2-propylphenol
80-46-6,"4-(1,1-dimethylpropyl)-phenol"
621-27-2,3-propylphenol
645-56-7,4-propylphenol
31019-46-2,propylphenol (unkn.str.)
88-69-7,2-isopropylphenol
618-45-1,3-isopropylphenol
99-89-8,4-isopropylphenol
25168-06-3,isopropylphenol (unkn.str.)
23619-59-2,2-(1E)-1-propen-1-ylphenol
23508-99-8,2-(1Z)-1-propenylphenol
1745-81-9,2-allylphenol
501-92-8,4-allylphenol (=chavicol)
26761-75-1,allylphenol (unkn.str.)
539-12-8,4-propenylphenol (unkn.str.)
1638-22-8,4-butylphenol
89-72-5,2-sec-butylphenol
99-71-8,4-sec-butylphenol
28805-86-9,butylphenol (unkn.str.)
136-83-4,2-nonylphenol
139-84-4,3-nonylphenol
104-40-5,4-nonylphenol
25154-52-3,nonylphenol (unkn.str.)
20944-88-1,2-(2-methylallyl)phenol
54932-78-4,"4-(2,2,3,3-tetramethylbutyl)phenol"
526-75-0,"2,3-dimethylphenol"
105-67-9,"2,4-dimethylphenol"
95-87-4,"2,5-dimethylphenol"
576-26-1,"2,6-dimethylphenol"
95-65-8,"3,4-dimethylphenol"
108-68-9,"3,5-dimethylphenol (=3,5-xylenol)"
,methyl o-cresol (unkn.str.)
1300-71-6,dimethylphenol (unkn.str.)
3855-26-3,2-ethyl-4-methylphenol
1687-61-2,2-ethyl-5-methylphenol
698-71-5,5-ethyl-3-methylphenol
2219-73-0,4-ethyl-2-methylphenol
30230-52-5,ethyl-methylphenol (unkn.str.)
214896-23-8,2-ethenyl-3-methylphenol
4074-46-8,4-methyl-2-propylphenol
31143-55-2,5-methyl-2-propylphenol
62744-64-3,methyl-propylphenol (unkn.str.)
4427-56-9,2-isopropyl-4-methylphenol (=isothymol)
89-83-8,thymol
3228-02-2,3-methyl-4-isopropyl-phenol
499-75-2,carvacrol (=5-isopropyl-2-methylphenol)
56423-47-3,5-isopropenyl-2-methylphenol (=dehydrocarvacrol)
98-27-1,4-tert-butyl-2-methylphenol
2409-55-4,2-tert-butyl-4-methylphenol
88-60-8,2-tert-butyl-5-methylphenol
2219-82-1,2-tert-butyl-6-methylphenol
875-85-4,"3,4-diethylphenol"
2219-78-5,"2-ethyl-4,5-dimethylphenol"
26967-65-7,diethylphenol (unkn.str.)
35946-91-9,"2,5-diisopropylphenol"
2078-54-8,"2,6-diisopropylphenol"
26886-05-5,"3,5-diisopropylphenol"
2151-57-7,"2,4-dibutylphenol"
96-76-4,"2,4-di-tert-butylphenol"
128-39-2,"2,6-di-tert-butylphenol"
1138-52-9,"3,5-bis(1,1-dimethylethyl)phenol"
26746-38-3,di-tert-butylphenol (unkn.str.)
,"2-(1,5-dimethyl-4-hexenyl)-4-methylphenol"
69301-27-5,"2-(1,5-dimethyl-4-hexenyl)-5-methylphenol (=curcuphenol)"
30199-26-9,"5-(1,5-dimethyl-4-hexenyl)-2-methylphenol (=xanthorrhizol)"
697-82-5,"2,3,5-trimethylphenol"
496-78-6,"2,4,5-trimethylphenol"
2416-94-6,"2,3,6-trimethylphenol"
527-60-6,"2,4,6-trimethylphenol"
527-54-8,"3,4,5-trimethylphenol"
26998-80-1,trimethylphenol (unkn.str.)
76138-68-6,"2,3-diisopropyl-5-methylphenol"
40625-96-5,"2,4-diisopropyl-5-methylphenol"
76138-69-7,"2,4-diisopropyl-3-methylphenol"
76138-70-0,"2,5-diisopropyl-3-methylphenol"
128-37-0,"2,6-di-tert-butyl-4-methylphenol (=B.H.T.)"
1518-53-2,"1,3-di-tert-butyl-2-methoxy-5-methylbenzene"
4130-42-1,"2,6-di-tert-butyl-4-ethylphenol"
15269-16-6,"2,5-diisopropyl-4-methylphenol"
28434-93-7,"2,6-diisopropyl-3-methylphenol"
74926-87-7,"2,6-diisobutyl-4-methylphenol"
5892-47-7,"2,4,6-tri-sec-butylphenol"
,tetramethylphenol (unkn.str.)
90-43-7,2-phenylphenol (=2-biphenylol)
90-15-3,1-naphthol
135-19-3,2-naphthol
1321-67-1,naphthol (unkn.str.)
112548-32-0,1-methoxy-4-isopropylcyclohexane
931-57-7,"2,3,4,5-tetrahydroanisole"
100-66-3,"methoxybenzene (=anisole, methyl phenyl ether)"
103-73-1,ethoxybenzene (=phenetole)
578-58-5,1-methoxy-2-methylbenzene (=2-methylanisole)
100-84-5,1-methoxy-3-methylbenzene (=3-methylanisole)
104-93-8,"1-methoxy-4-methylbenzene (=4-methylanisole, 4-methoxy-toluene, p-cresyl methyl ether)"
26897-24-5,methoxy-methylbenzene (unkn.str.)
14804-32-1,1-ethyl-2-methoxybenzene
10568-38-4,1-ethyl-3-methoxybenzene
1515-95-3,1-ethyl-4-methoxybenzene
637-69-4,1-methoxy-4-vinylbenzene (=4-vinylanisole)
174460-88-9,1-methoxy-2-(2-methoxyethyl)benzene
104-45-0,1-methoxy-4-propylbenzene (=4-propylbenzene)
4132-48-3,1-isopropyl-4-methoxybenzene
,methoxy-propylbenzene (unkn.str.)
27476-56-8,isopropyl-methoxybenzene (unkn.str.)
140-67-0,1-allyl-4-methoxybenzene
104-46-1,anethole (=1-methoxy-4-(1-propenyl)benzene)
25679-28-1,(Z)-anethole (=(Z)-1-methoxy-4-(1-propenyl)benzene)
4180-23-8,"(E)-anethole (=(E)-1-methoxy-4-(1-propenyl)benzene, anise camphor)"
2050-03-5,4-tert-pentylanisole
20056-59-1,1-methoxy-2-octylbenzene (=o-octylanisol)
51279-50-6,acetylmethoxybenzene (unkn.str.) (=acetylanisole)
16510-27-3,1-(cyclopropanemethyl)-4-methoxybenzene
622-60-6,1-ethoxy-4-methylbenzene
54191-22-9,1-isopropoxy-4-methylbenzene (=p-cresyl isopropyl ether)
2052-13-3,1-butoxy-2-methylbenzene
6302-60-9,"4-(3,4-dimethoxyphenyl)-2-butanone (=methylzingerone)"
104-20-1,"1-methoxy-4-(3-oxobutyl)benzene (=anisylacetone, bramble ketone)"
6738-23-4,"1-methoxy-2,4-dimethylbenzene"
1076-56-8,"1-isopropyl-2-methoxy-4-methylbenzene (=methyl thymyl ether, methylthymol)"
,isopropyl-methoxy-methylbenzene (unkn.str.) (=methoxy-cymene (unkn.str.))
4028-66-4,"2-methoxy-1,3,5-trimethylbenzene"
20469-61-8,"1-methoxy-2,3,5-trimethylbenzene"
14753-08-3,"1-isopropyl-2,5-dimethoxy-4-methylbenzene (=2,5-dimethoxy-p-cymene)"
2216-69-5,1-methoxynaphthalene
57982-68-0,methoxynaphthalene (unkn.str.)
120-80-9,"1,2-benzenediol (=pyrocatechol, catechol and catechin)"
501-36-0,trans-resveratrol
61434-67-1,cis-resveratrol
108-46-3,"1,3-benzenediol (=resorcinol)"
123-31-9,"1,4-benzenediol (=hydroquinone)"
12385-08-9,benzenediol (unkn.str.)
488-17-5,"3-methyl-1,2-benzenediol"
452-86-8,"4-methyl-1,2-benzenediol"
496-73-1,"4-methyl-1,3-benzenediol"
504-15-4,"5-methyl-1,3-benzenediol"
933-99-3,"3-ethyl-1,2-benzenediol"
1124-39-6,"4-ethyl-1,2-benzenediol"
2896-60-8,"4-ethyl-1,3-benzenediol"
6053-02-7,"4-vinyl-1,2-benzenediol"
69845-49-4,"dimethyl-1,2-benzenediol (unkn.str.)"
490-06-2,"3-isopropyl-6-methyl-1,2-benzenediol (=cymopyrocatechol)"
2217-60-9,"2-isopropyl-5-methyl-1,4-benzenediol (=thymohydroquinone)"
90-01-7,2-hydroxybenzenemethanol
620-24-6,3-hydroxybenzenemethanol
90-05-1,2-methoxyphenol (=guaiacol)
150-19-6,3-methoxyphenol
150-76-5,4-methoxyphenol (=p-guaiacol)
26638-03-9,methoxyphenol (unkn.str.)
18979-50-5,4-propoxyphenol
93-51-6,"2-methoxy-4-methylphenol (=4-methylguaiacol, creosol)"
1195-09-1,5-methyl-2-methoxyphenol
2896-67-5,2-methoxy-6-methylphenol (=6-methylguaiacol)
,ethyl-2-methoxyphenol (unkn.str.) (=ethylguaiacol (unkn.str.))
32391-38-1,methoxy-methylphenol (unkn.str.)
2785-89-9,4-ethyl-2-methoxyphenol (=4-ethylguaiacol)
