,Fruity,Floral,Woody,Earthy,Spicy,Green,Animalic,Marine,Smoky,Sulfurous
TAGETES TENUIFOLIA OIL,0,0,0,0,0,0,0,0,0,0
GREEN MATE,0,0,0,0,0,1,0,0,0,0
RED WINE (Barbera + Croatina),1,0,0,0,0,0,0,0,0,0
HORSE MINT OIL (Mentha longifolia),0,0,0,0,0,1,0,0,0,0
CURCUMA HEYNEANA VAL.,0,0,0,0,0,0,0,0,0,0
SMALLER GALANGA (Alpinia officinarum Hance),0,0,0,0,0,0,0,0,0,0
ANCHOVY (canned),0,0,0,0,0,0,0,0,0,0
SOUR CREAM (fat free),0,0,0,0,0,0,0,0,0,0
"BROWN RICE (long grain, raw)",0,0,0,0,0,0,0,0,0,0
HOLSTEIN CHEESE,0,0,0,0,0,0,1,0,0,0
BANKSIA HONEY (several species),0,0,0,0,0,0,0,0,0,0
MANDARIN OIL (Citrus reticulata),0,0,0,0,0,0,0,0,0,0
RED WINE (Merlot),1,0,0,0,0,0,0,0,0,0
"RED WINE (Leon Millot, S. cerevic.+M. pulcherrimo)",1,0,0,0,0,0,0,0,0,0
SHEEP CHEESE,0,0,0,0,0,0,1,0,0,0
"PORK, UNCURED (boiled, cooked)",0,0,0,0,0,0,0,0,0,0
ROMAN CAMOMILE OIL (Anthemis nobilis L.),0,1,0,0,0,0,0,0,0,0
ALMOND (roasted) (Prunus amygdalus),0,0,0,0,0,0,0,0,1,0
LUCERNE HONEY (Medigo sativa),0,0,0,0,0,0,0,0,0,0
RED WINE (Cabernet Sauvignon),1,0,0,0,0,0,0,0,0,0
WHEATEN BREAD BROWN,0,0,0,0,0,0,0,0,0,0
CHICKEN (roasted),0,0,0,0,0,0,0,0,1,0
RED ADLER TREE SMOKE,0,0,1,0,0,0,0,0,1,0
LIME OIL (coldpressed),0,0,0,0,0,0,0,0,0,0
"PORK, UNCURED (smoked)",0,0,1,0,0,0,0,0,1,0
"HOG PLUM (pasteurised juice, Spondias mombins L.)",1,0,0,0,0,0,0,0,0,0
ACACIA HONEY (several species),0,0,0,0,0,0,0,0,0,0
SLENDER MINT OIL (Mentha diemenica),0,0,0,0,0,1,0,0,0,0
CASHEW APPLE WINE,1,0,0,0,0,0,0,0,0,0
SKIPJACK TUNA (katsuwonus pelamus) (fermented),0,0,0,0,0,0,0,0,0,0
MEYER LEMON LEAF OIL,0,0,0,0,0,1,0,0,0,0
CAULIFLOWER (cooked),0,1,0,0,0,0,0,0,0,0
SALMON (cooked),0,0,0,0,0,0,0,0,0,0
"PORK RIB MEAT (raw, Duroc-Bamei hybrid breed)",0,0,0,0,0,0,1,0,0,0
CHILI PEPPER PLACENTA (C. baccatum),0,0,0,0,1,0,0,0,0,0
ROMANO CHEESE,0,0,0,0,0,0,1,0,0,0
APPLE FRESH (Golden Delicious),1,0,0,0,0,0,0,0,0,0
GHEE,0,0,0,0,0,0,0,0,0,0
SOYBEAN (heated),0,0,0,0,0,0,0,0,0,0
GARDEN CRESS (Lepidium sativum L.),0,0,0,0,0,0,0,0,0,0
MULTIFLORAL HONEY or UNDEFINED HONEY,0,0,0,0,0,0,0,0,0,0
LEMON BALM (Melissa officinalis L.),0,0,0,0,0,0,0,0,0,0
WHITE WINE (Gewürtztraminer),1,0,0,0,0,0,0,0,0,0
"MANGO (over-ripe purée, heated) (var. maha-chanok)",1,0,0,0,0,0,0,0,0,0
WHITE MAIZE PORRIDGE,0,0,0,0,0,0,0,0,0,0
BROWN ALGAE (ascophyllum nodosum),0,0,0,0,0,0,0,1,0,0
APPLE FRESH (Elstar),1,0,0,0,0,0,0,0,0,0
CASEIN HYDROLYSATE (Bacillus subtitles),0,0,0,0,0,0,0,0,0,0
DEFATTED RICE BRAN (soluble dietary fibre),0,0,0,0,0,0,0,0,0,0
BLACK PEPPER LEAF (cv. Iaçará),0,0,0,0,1,1,0,0,0,0
RAPESEED ROASTED,0,0,0,0,0,0,0,0,1,0
FISH MISO (with koji),0,0,0,0,0,0,0,1,0,0
TOMATO FRESH,0,0,0,0,0,0,0,0,0,0
OYSTER SAUCE,0,0,0,0,0,0,0,1,0,0
SQUID (non-categorised),0,0,0,0,0,0,0,0,0,0
"PISCO (Peruvian brandy, aromatic)",0,0,0,0,0,0,0,0,0,0
WHITE WINE (Pinot blanc),1,0,0,0,0,0,0,0,0,0
"UNROASTED ARGAN OIL (cold-pressed, old)",0,0,0,0,0,0,0,0,1,0
BLACK PEPPER FRUIT (cv. Equador),1,0,0,0,1,0,0,0,0,0
BRIE,0,0,0,0,0,0,0,0,0,0
MILK UHT TREATED (cow),0,0,0,0,0,0,0,0,0,0
MABOLO (diospyros blancoi),0,0,0,0,0,0,0,0,0,0
CANE SUGAR,0,0,0,0,0,0,0,0,0,0
WATER YAM (Dioscorea alata),0,0,0,0,0,0,0,0,0,0
TUNA (raw),0,0,0,0,0,0,0,0,0,0
BAGNOLI or LORRAINE TRUFFLE (Tuber mesentericum),0,0,0,1,0,0,0,0,0,0
SAUERKRAUT,0,0,0,0,0,0,0,0,0,0
LAMB (raw),0,0,0,0,0,0,0,0,0,0
Heated LICORICE (Glycyrrhiza echinata L.),0,0,0,0,0,0,0,0,0,0
HICKORY TREE SMOKE,0,0,1,0,0,0,0,0,1,0
MULBERRY SPIRIT (Mouro),1,0,0,0,0,0,0,0,0,0
SULLA HONEY (Hedysarium coronarium L.),0,0,0,0,0,0,0,0,0,0
SIBERIAN GINSENG SEED OIL (E. Senticosus),0,0,0,0,0,0,0,0,0,0
GREEN ALGEA (ulva pertusa),0,0,0,0,0,1,0,0,0,0
SWEET CORN,0,0,0,0,0,0,0,0,0,0
WHITE FISH (oxidized),0,0,0,0,0,0,0,1,0,0
MARULA (Sclerocarya birrea subsp. caffra),0,0,0,0,0,0,0,0,0,0
APPLE FRESH (generic),1,0,0,0,0,0,0,0,0,0
LOVAGE ROOT,0,0,0,1,0,0,0,0,0,0
"tom yam (lemongrass, galangal, kaffir lime leaf)",0,0,0,0,0,1,0,0,0,0
SPELT,0,0,0,0,0,0,0,0,0,0
"PORK, UNCURED (grilled, roasted)",0,0,0,0,0,0,0,0,1,0
SHALLOT (Allium cepa L. aggregatum),0,0,0,0,0,0,0,0,0,0
BAIJIU (Chixiang Aroma),0,0,0,0,0,0,0,0,0,0
CALABASH NUTMEG (Monodora myristica Dunal),0,0,0,0,1,0,0,0,0,0
