CAS Number,Compound Name
64-18-6,formic acid
67879-58-7,caftaric acid
1111-78-0,"carbamic acid, monoammonium salt"
64-19-7,acetic acid
,glucaric acid (unkn.str.)
,gluconic acid (unkn.str.)
,diferulic acid (isomer 5)
79-14-1,hydroxyacetic acid (=glycolic acid)
77-52-1,ursolic acid
298-12-4,oxoacetic acid (=glyoxylic acid)
,N-[4-[hydroxy(methyl)amino]butanoyl]glycine
56-87-1,L-Lysine
56-87-1,l-Lysine
79-09-4,propanoic acid (=propionic acid)
1477-50-5,indole-2-carboxylic acid
79-10-7,2-propenoic acid (=acrylic acid)
79-31-2,2-methylpropanoic acid (=isobutyric acid)
79-41-4,2-methyl-2-propenoic acid (=methacrylic acid)
75-98-9,"2,2-dimethylpropanoic acid (=trimethyl acetic acid, pivalic acid)"
598-82-3,2-hydroxypropanoic acid (=lactic acid)
503-66-2,3-hydroxypropanoic acid
473-81-4,"2,3-hydroxypropanoic acid (=glyceric acid)"
127-17-3,"2-oxopropanoic acid (=pyruvic acid, acetylformic acid)"
4324-38-3,3-ethoxypropanoic acid
1783-84-2,dihomo-γ-linolenic acid
97-69-8,N-acetylalanine
594-61-6,2-hydroxy-2-methylpropanoic acid
1113-60-6,3-hydroxy-2-oxopropanoic acid
13794-15-5,2-(4-methoxyphenoxy)propanoic acid
4276-75-9,(R)-2-(4-methoxyphenoxy)propanoic acid
4276-74-8,(S)-2-(4-methoxyphenoxy)propanoic acid
2504-83-8,3-(4-imidazolyl)-2-oxopropanoic acid
107-92-6,butanoic acid
3724-65-0,2-butenoic acid (=crotonic acid)
107-93-7,(E)-2-butenoic acid
,diferulic acid (isomer 1)
,diferulic acid (isomer 2)
,diferulic acid (isomer 3)
,diferulic acid (isomer 4)
116-53-0,2-methylbutanoic acid
1730-91-2,(S)-2-methylbutanoic acid
32231-50-8,(R)-2-methylbutanoic acid
503-74-2,3-methylbutanoic acid (=isovaleric acid)
35915-22-1,methylbutanoic acid (unkn.str.)
88-09-5,2-ethylbutanoic acid
14287-61-7,"2,3-dimethylbutanoic acid"
13201-46-2,2-methyl-2-butenoic acid
565-63-9,(Z)-2-methyl-2-butenoic acid (=angelic acid)
80-59-1,(E)-2-methyl-2-butenoic acid (=tiglic acid)
541-47-9,3-methyl-2-butenoic acid (=senecioic acid)
1617-31-8,3-methyl-3-butenoic acid
32444-32-9,2-ethyl-3-methylbutanoic acid
10276-09-2,"2,2-dimethyl-3-butenoic acid"
565-70-8,2-hydroxybutanoic acid
300-85-6,3-hydroxybutanoic acid
591-81-1,4-hydroxybutanoic acid
3739-30-8,2-hydroxy-2-methylbutanoic acid
4026-18-0,2-hydroxy-3-methylbutanoic acid
625-08-1,3-hydroxy-3-methylbutanoic acid
14868-24-7,"2,3-dihydroxy-2-methylbutanoic acid"
1756-18-9,"2,3-dihydroxy-3-methylbutanoic acid"
59-30-3,folic acid
6217-54-5,docosahexaenoic acid
600-18-0,2-oxobutanoic acid
541-50-4,3-oxobutanoic acid
759-05-7,3-methyl-2-oxobutanoic acid
1944-42-9,3-hydroxy-2-oxobutanoic acid
22136-38-5,hydroxy-2-oxobutanoic acid (unkn.str.)
918-44-5,2-hydroxy-2-methyl-3-oxobutanoic acid (=α-acetolactic acid)
3142-65-2,2-ethyl-2-hydroxy-3-oxobutanoic acid
109-52-4,pentanoic acid (=valeric acid)
626-98-2,2-pentenoic acid
27516-53-6,pentenoic acid (unkn.str.)
97-61-0,2-methylpentanoic acid
105-43-1,3-methylpentanoic acid
3302-12-3,"2,2,4,4-tetramethylpentanoic acid"
646-07-1,4-methylpentanoic acid (=isocaproic acid)
20225-24-5,2-ethylpentanoic acid
3142-72-1,2-methyl-2-pentenoic acid
