CAS Number,Compound Name
107-95-9,β-Alanine
73-32-5,L-Isoleucine
72-18-4,L-Valine
63-91-2,L-Phenylalanine
74-79-3,L-Arginine
56-84-8,L-Aspartic acid
56-86-0,L-Glutamic acid
98-79-3,L-pyroglutamic acid
368-16-1,3-methyl-L-histidine
34522-32-2,D-Octopine
56-41-7,L-Alanine
56-89-3,L-Cystine
52-90-4,l-Cysteine
302-84-1,Serine
541-15-1,Carnitine
17885-08-4,o-Phosphoserine
107-43-7,Betaine
70-26-8,L-Ornitine
599-54-2,Pantothenic acid
302-72-7,DL-Alanine
150-30-1,"D,L-Phenylalanine"
516-06-3,"D,L-Valine"
443-79-8,"D,L-Isoleucine"
147-85-3,L-Proline
56-40-6,L-Glycine
72-19-5,L-Threonine
59-51-8,"D,L-Methionine"
63-68-3,L-Methionine
70-47-3,Asparagine
56-85-9,L-Glutamine
60-18-4,L-Tyrosine
535-34-2,Cystathionine
73-22-3,Tryptophan
56-12-2,4-Aminobutyric acid
71-00-1,L-Histidine
1190-94-9,5-hydroxylysine
57-00-1,Creatine
61-90-5,L-Leucine
