CAS Number,Compound Name
2258-42-6,acetic formic anhydride (=acetyl formate)
108-24-7,acetic anhydride (=acetyl acetate)
108-31-6,"maleic anhydride (=2,5-furandione)"
4100-80-5,"methylsuccinic anhydride (=3-methyldihydro-2,5-furandione)"
2170-03-8,"dihydro-3-methylene-2,5-furandione"
616-02-4,"methylmaleic anhydride (=3-methyl-2,5-furandione)"
766-39-2,dimethylmaleic anhydride
3552-33-8,"2-ethyl-3-methylmaleic anhydride (=3-ethyl-4-methyl-2,5-furandione)"
75052-75-4,"2-hexyl-3-methylmaleic anhydride (=3-hexyl-4-methyl-2,5-furandione)"
59025-03-5,"3(S)-(acetyloxy)dihydro-2,5-furandione"
85-44-9,"phthalic anhydride (=2-benzofuran-1,3-dione)"
862119-20-8,2-ethyl-3-methyl-2-pentenedioic anhydride
85-42-7,hexahydrophthalic anhydride
87-41-2,phthalide (=1(3H)-isobenzofuranone)
553-86-6,isophthalide (= 2(3H)-benzofuranone)
54120-64-8,5-methylphthalide
,methylphthalide (unkn.str.)
,"cis-3-(1-propylidene)-4,5-dihydrophthalide"
17369-59-4,3-(1-propylidene)phthalide
94704-89-9,(Z)-3-(1-propylidene)phthalide
3553-34-2,3-butylhexahydrophthalide
,butylhexahydrophthalide (unkn.str.)
6415-59-4,"3-butyl-3a,4,5,6-tetrahydrophthalide (=sedanolide)"
2550-44-9,"cis-3-butyl-3a,4,5,6-tetrahydrophthalide (=neocnidilide)"
3553-29-5,"trans-3-butyl-3a,4,5,6-tetrahydrophthalide (=trans-sedanolide)"
3674-03-1,cnidilide
66983-89-9,sedanonic anhydride
66983-88-8,"3a,4-dihydro-3-isobutylidenephthalide"
128575-99-5,"4,5-dihydro-3-pentylphthalide"
82427-00-7,"4,5-dihydro-3-pentylidenephthalide"
116964-00-2,"(Z)-4,5-dihydro-3-pentylidenephthalide (=Z-ternine)"
,"(E)-4,5-dihydro-3-pentylidenephthalide (=(E)-ternine)"
99054-84-9,"3a,4-dihydro-3-isopentylidenephthalide"
63038-10-8,"3-butyl-4,5-dihydrophthalide (=sedanenolide, senkyunolide)"
141120-37-8,"3-butyl-5,6-dihydro-4H-2-isobenzofuran-1-one"
4431-01-0,"3-butylidene-4,5-dihydrophthalide (=ligustilide)"
81944-09-4,"(Z)-3-butylidene-4,5-dihydrophthalide (=Z-ligustilide)"
81944-08-3,"(E)-3-butylidene-4,5-dihydrophthalide (=E-ligustilide)"
6066-49-5,3-butylphthalide
551-08-6,3-butylidenephthalide
72917-31-8,(Z)-3-butylidenephthalide
76681-73-7,(E)-3-butylidenephthalide
88542-70-5,3-isobutylidenephthalide
91909-70-5,3-isopentylidenephthalide
19943-27-2,proline anhydride
