CAS Number,Compound Name
,5-(p-Aminophenyl)-4-(o-tolyl)-2-thiazolamine
7664-41-7,ammonia
74-89-5,methanamine (=methylamine)
51-61-6,dopamine
75-04-7,ethanamine (=ethylamine)
557-66-4,ethylamine hydrochloride
121-05-1,"N,N-bis(1-methylethyl)-1,2-ethanediamine"
3717-21-3,4-methoxybenzaldehyde oxime
107-10-8,1-propanamine (=propylamine)
107-11-9,allylamine
75-31-0,2-propanamine (=isopropylamine)
109-73-9,1-butanamine (=butylamine)
67-03-8,thiamine (HCl)
78-81-9,2-methyl-1-propanamine (=isobutylamine)
13952-84-6,2-butanamine (=sec-butylamine)
75-64-9,2-methyl-2-propanamine (=tert-butylamine )
96-15-1,2-methyl-1-butanamine (=(2-methylbutyl)amine)
110-58-7,1-pentanamine (=pentylamine)
107-85-7,3-methyl-1-butanamine (=isopentylamine)
63493-28-7,2-pentanamine (= 2-pentylamine )
111-26-2,1-hexanamine (=hexylamine)
111-68-2,1-heptanamine (=heptylamine)
111-86-4,1-octanamine (=octylamine )
112-20-9,1-nonanamine (=nonylamine)
29812-79-1,1-(aminooxy)decane (=O-decylhydroxylamine )
124-40-3,N-methylmethanamine (=dimethylamine)
506-59-2,dimethylamine hydrochloride
624-78-2,N-methylethanamine (=N-ethylmethylamine)
109-89-7,N-ethylethanamine (=diethylamine)
627-35-0,N-methyl-1-propanamine (=N-methylpropylamine)
20193-20-8,N-ethyl-1-propanamine (=N-ethyl-1-propanamine)
142-84-7,N-propyl-1-propanamine (=dipropylamine)
108-18-9,N-isopropyl-2-propanamine (=diisopropylamine)
5666-21-7,N-prop-2-enylpropan-1-amine (=N-allylpropylamine)
4747-21-1,N-isopropylmethylamine
124-02-7,diallylamine
110-68-9,N-butylmethylamine
13360-63-9,N-butylethylamine
20193-21-9,N-butylpropylamine
84005-70-9,heptylpyrazine
39099-23-5,N-butylisopropylamine
111-92-2,dibutylamine
20810-06-4,N-butylisobutylamine
4444-67-1,N-butyl-sec-butylamine
39190-66-4,N-isobutylpropylamine
110-96-3,diisobutylamine
39190-88-0,N-sec-butylisobutylamine
56951-66-7,N-tert-butylisobutylamine
4432-77-3,N-tert-butylethylamine
17839-26-8,N-ethylpentylamine
39536-61-3,N-butylpentylamine
78579-55-2,N-isobutylpentylamine
81760-10-3,N-isobutylisopentylamine
41781-25-3,N-sec-butylpentylamine
4266-04-0,N-tert-butylpentylamine
544-00-3,diisopentylamine
22431-10-3,N-methyl-sec-pentylamine
924-16-3,N-butyl-N-nitroso-1-butanamine
