CAS Number,Compound Name
67160-14-9,methoxyphenyl oxime
115-10-6,dimethyl ether
629-82-3,octyl ether
540-67-0,ethyl methyl ether (=methoxyethane)
107-25-5,methyl vinyl ether
557-17-5,methyl propyl ether
7289-51-2,methyl nonyl ether
60-29-7,diethyl ether
109-92-2,ethyl vinyl ether
628-32-0,ethyl propyl ether (=1-ethoxypropane)
625-54-7,ethyl isopropyl ether
108-20-3,2-isopropoxypropane
557-31-3,allyl ethyl ether (=3-ethoxy-1-propene)
764-47-6,propyl vinyl ether
926-65-8,isopropyl vinyl ether
625-44-5,isobutyl methyl ether (=1-methoxy-2-methylpropane)
1634-04-4,tert-butyl methyl ether (=2-methoxy-2-methylpropane)
628-81-9,butyl ethyl ether
1860-27-1,1-(1-methylethoxy)-butane
2679-87-0,sec-butyl ethyl ether
637-92-3,tert-butyl ethyl ether
994-05-8,2-methoxy-2-methylbutane
17952-11-3,ethyl pentyl ether
34061-76-2,3-butenyl butyl ether
142-96-1,dibutyl ether
28509-25-3,bis(2-methylbutyl) ether
693-65-2,dipentyl ether
544-01-4,diisopentyl ether
112-58-3,dihexyl ether
4747-07-3,hexyl methyl ether
56752-54-6,"2,4-hexadiene ethyl ether"
56752-55-7,"2-ethoxy-3,5-hexadiene"
197235-62-4,3-[(2E)-2-hexen-1-yloxy]- hexanal
326591-68-8,3-[(3Z)-3-hexen-1-yloxy]- hexanal
68133-72-2,(Z)-3-hexenyloxyacetaldehyde
1346753-33-0,(E)-3-hexenyloxyacetaldehyde
55915-70-3,citronellyl methyl ether
2565-83-5,neryl methyl ether
69744-18-9,carvyl methyl ether
6379-73-3,4-isopropyl-2-methoxy-1-methylbenzene (=methylcarvacrol)
40267-72-9,ethyl geranyl ether
60763-44-2,methyl linalyl ether
72845-33-1,ethyl linalyl ether
24202-00-4,methyl myrcenyl ether
1126-79-0,butyl phenyl ether (=1-phenoxybutane)
538-86-3,benzyl methyl ether
539-30-0,benzyl ethyl ether
15895-87-1,benzyl propenyl ether
588-67-0,benzyl butyl ether
122-73-6,benzyl 3-methylbutyl ether
54852-64-1,benzyl octyl ether
5355-17-9,4-hydroxybenzyl methyl ether
57726-26-8,ethyl 4-hydroxybenzyl ether (=4-(ethoxymethyl)phenol)
21998-86-7,2-methoxybenzyl methyl ether
1515-81-7,4-methoxybenzyl methyl ether (=anisyl methyl ether)
55249-73-5,ethyl 4-methoxybenzyl ether (=anisyl ethyl ether)
5076-72-2,1-ethoxy-4-methoxybenzene
5533-03-9,4-hydroxy-3-methoxybenzyl methyl ether (=methyl vanillyl ether)
25007-53-8,ethyl 4-hydroxy-3-methoxybenzyl ether (=ethyl vanillyl ether)
75921-68-5,"3,4,5-trimethoxybenzyl methyl ether"
3558-60-9,methyl phenethyl ether
4013-37-0,"1,2-dimethoxy-1-phenylethane"
,butenyl phenethyl ether (unkn.str.)
,3-methyl-1-[4-(1-propenyl)phenoxy]-2-butene
,"3-ethoxy-1-(2,3,6-trimethyl-phenyl)-1-butene"
,"3-ethoxy-1-(trimethylphenyl)-1,3-butadiene"
55708-37-7,p-cymen-8-ol methyl ether
68279-51-6,p-cymen-8-yl ethyl ether (=8-ethoxy-p-cymene)
84161-98-8,methyl α-terpinyl ether
27153-54-4,ethyl α-terpinyl ether
26946-68-9,methyl β-terpinyl ether
,ethyl β-terpinyl ether
54982-76-2,ethyl 4-terpinenyl ether
69744-17-8,carvyl ethyl ether
4747-15-3,"1-methoxy-2-phenylethene (=β-methoxystyrene, methyl α-styryl ether)"
10395-54-7,bornyl methyl ether
19316-72-4,bornyl ethyl ether
5331-32-8,isobornyl methyl ether
1888-80-8,ethyl isobornyl ether
67800-86-6,ethyl fenchyl ether
,ethyl sabinyl ether
10300-03-5,myrtenol methyl ether
,ethyl 4-thujanyl ether
54982-73-9,ethyl cis-4-thujanyl ether
54982-72-8,trans-4-thujanol ethyl ether
26946-66-7,"1,8-dimethoxy-p-menthane"
54982-77-3,cis-3-ethoxy-p-1-menthene
54982-75-1,trans-3-ethoxy-p-1-menthene
54982-74-0,1-ethoxy-p-2-menthene
,cis-1-ethoxy-p-2-menthene
,trans-1-ethoxy-p-2-menthene
,ethyl p-1-menthen-3-yl ether
80581-06-2,"cis-4-ethoxy-α-pinene (=ethyl verbenyl ether, [1R-(1α,4α,5α)])"
80581-05-1,"trans-4-ethoxy-α-pinene (=ethyl verbenyl ether, [1R-(1α,4β,5α)])"
5211-62-1,2-methoxyphenylacetone
101-84-8,diphenyl ether (=diphenyl oxide)
104-66-5,"1,2-diphenoxyethane"
68900-67-4,diphenethyl ether
470-67-7,"1,4-cineole"
,dihydrosesquicineol
470-82-6,"1,8-cineole (=eucalyptol)"
18679-48-6,2-hydroxycineole
,"(1S,4R,6S)-and,or (1R,4S,6R)-2-exo-hydroxy-1,8-cineole"
92760-25-3,"2,3-dehydro-1,8-cineole"
66113-06-2,"dehydro-1,8-cineole"
,"dehydro-1,8-cineole (unkn.str.)"
19901-95-2,hop ether
19901-96-3,"karahana ether (=8,8-dimethyl-2-methylene-6-oxabicyclo- [3.2.1]octane)"
111-77-3,diethylene glycol monomethyl ether (=methyl carbitol)
111-90-0,diethylene glycol monoethyl ether (=carbitol)
112-34-5,diethylene glycol monobutyl ether (=2-(2-butoxyethoxy)ethanol)
104-68-7,diethylene glycol monophenyl ether
98531-35-2,diethylene glycol diethyl ether
4819-83-4,ethyl tetrahydropyranyl ether (unkn.str.)
16277-67-1,3-Methoxy-1-propenyl benzene
57006-69-6,"(E,E)-2,4-hexadien-1-yl acetate"
111-46-6,"2,2'-oxybisethanol (=diethylene glycol)"
112-27-6,"2,2'-(ethylenedioxy)bisethanol (=triethylene glycol)"
