CAS Number,Compound Name
109-99-9,tetrahydrofuran (=oxolane)
96-47-9,2-methyltetrahydrofuran
104188-15-0,"2,5-diethenyl-2-methyltetrahydrofuran"
1004-29-1,2-butyltetrahydrofuran
1003-38-9,"2,5-dimethyltetrahydrofuran"
41239-48-9,"2,5-diethyltetrahydrofuran"
5921-97-1,"cis-2,5-diethyltetrahydrofuran"
32101-31-8,"trans-2,5-diethyltetrahydrofuran"
89103-56-0,cis-marmelo oxide
92343-93-6,trans-marmelo oxide
79925-89-6,"2-[1(E),3(E)-hexadienyl]-5-methyltetrahydrofuran"
29848-44-0,3-hydroxy-2-methyltetrahydrofuran
696-59-3,"2,5-dimethoxytetrahydrofuran"
78053-99-3,2-hydroxy-5-pentyltetrahydrofuran
78054-00-9,2-ethoxy-5-pentyltetrahydrofuran
78054-01-0,2-pentoxy-5-pentyltetrahydrofuran
78054-02-1,2-hexoxy-5-pentyltetrahydrofuran
78054-03-2,2-octoxy-5-pentyltetrahydrofuran
78054-04-3,2-nonoxy-5-pentyltetrahydrofuran
78054-10-1,(Z)-2-(2-nonenoxy)-5-pentyl-tetrahydrofuran
78054-05-4,(Z)-2-(3-nonenoxy)-5-pentyl-tetrahydrofuran
78054-11-2,"(Z,Z)-2-(3,6-nonadienoxy)-5-pentyltetrahydrofuran"
78054-06-5,2-benzyloxy-5-pentyl-tetrahydrofuran
78054-07-6,2-pentyl-5-phenethoxytetrahydrofuran
7416-35-5,"2,2-dimethyl-5-(1-methyl-1-propenyl)tetrahydrofuran"
71635-17-1,5-isopropyl-2-methyl-2-vinyltetrahydrofuran
89412-77-1,2-(1-hydroxy-1-methylethyl)-5-methyl-5-vinyl-tetrahydrofuran-2-ol
40478-73-7,5-methyl-5-vinyl-tetrahydrofuran-2-ol (=lavender lactol)
27725-58-2,"tetrahydro-3,4-furandiol"
13679-86-2,anhydrolinalool oxide (5)
54750-70-8,(E)-anhydrolinalool oxide (5)
54750-69-5,(Z)-anhydrolinalool oxide (5)
,dehydrofuranlinalool oxide (unkn.str.)
56058-63-0,dihydrolinalool oxide (5)
77939-96-9,cis-dihydrolinalool oxide (5)
77940-00-2,trans-dihydrolinalool oxide (5)
60047-17-8,linalool oxide (5)
,trimethyl-vinyl-tetrahydrofurfuryl alcohol (unkn.str.)
5989-33-3,cis-linalool oxide (5)
23007-29-6,"cis-(2S,5R)-linalool oxide (5)"
,"cis-(2R,5S)-linalool oxide (5)"
34995-77-2,trans-linalool oxide (5)
,"trans-(2S,5S)-linalool oxide (5)"
41720-55-2,"trans-(2R,5R)-linalool oxide (5)"
79238-70-3,"(R*,2S,5R)-epoxylinalool oxide B"
79355-26-3,"(S*,2S,5R)-epoxylinalool oxide B"
105817-03-6,"(R*,2R,5R)-epoxylinalool oxide A"
157008-60-1,"(S*,2R,5R)-epoxylinalool oxide A"
56469-39-7,"cis-linalool oxide (5), acetate"
56469-40-0,"trans-linalool oxide (5), acetate"
79925-88-5,2-cis-(1-(E)-hexenyl)-5-methyltetrahydrofuran
79981-21-8,2-trans-[1-(E)-hexenyl]-5-methyltetrahydrofuran
,2-propyldihydrofuran (unkn.str.)
4412-91-3,3-furanmethanol
1191-99-7,"2,3-dihydrofuran"
36312-17-1,dihydrofuran (unkn.str.)
1708-27-6,"3-methyl-2,3-dihydrofuran"
34314-83-5,"4-methyl-2,3-dihydrofuran"
56805-32-4,"2,3-dihydro-3-(1-methylpropyl)furan"
1708-31-2,"3-methyl-2,5-dihydrofuran"
17108-52-0,"2,5-dimethyl-2,3-dihydrofuran"
,"2,3,4,5-tetramethyl-2,3-dihydrofuran"
81624-01-3,dimethoxydihydrofuran (unkn.str.)
13436-44-7,"2-ethoxy-2,5-dihydrofuran"
871465-49-5,cassyrane
110-00-9,furan
25414-22-6,2-methoxy-furan
534-22-5,2-methylfuran
930-27-8,3-methylfuran
27137-41-3,methylfuran (unkn.str.)
3208-16-0,2-ethylfuran
67363-95-5,3-ethylfuran
27252-25-1,ethylfuran (unkn.str.)
1487-18-9,2-vinylfuran
4229-91-8,2-propylfuran
42908-61-2,3-propylfuran
10599-59-4,2-isopropylfuran
75135-41-0,2-allylfuran
10599-55-0,2-propenylfuran (unkn.str.)
4466-24-4,2-butylfuran
64079-00-1,butylfuran (unkn.str.)
,2-butenylfuran
55276-11-4,2-isobutenylfuran (unkn.str.)
3777-69-3,2-pentylfuran
64079-01-2,pentylfuran (unkn.str.)
15012-77-8,2-isopentylfuran
,isopentylfuran (unkn.str.)
20992-60-3,(Z)-2-(1-pentenyl)furan
20992-69-2,(E)-2-(1-pentenyl)furan
82550-42-3,2-(2-pentenyl)furan
70424-13-4,(Z)-2-(2-pentenyl)furan
70424-14-5,(E)-2-(2-pentenyl)furan
3777-70-6,2-hexylfuran
,hexylfuran (unkn.str.)
68062-17-9,2-hexenylfuran (unkn.str.)
96344-65-9,hexenylfuran (unkn.str.)
539-52-6,3-(4-methyl-3-pentenyl)furan (=perillene)
3777-71-7,2-heptylfuran
4179-38-8,2-octylfuran
83469-85-6,2-decylfuran
23262-34-2,dendrolasin
3710-43-8,"2,4-dimethylfuran"
625-86-5,"2,5-dimethylfuran"
20843-07-6,"3,4-dimethylfuran"
28802-49-5,dimethylfuran (unkn.str.)
13679-46-4,2-(methoxymethyl)furan (=furfuryl methyl ether)
1703-52-2,2-ethyl-5-methylfuran
10504-13-9,2-methyl-5-vinylfuran
52559-01-0,3-methyl-2-vinylfuran
59417-61-7,4-methyl-2-vinylfuran
35942-94-0,2-(hydroxyethyl)-5-methylfuran
1456-16-2,2-methyl-5-propylfuran
106100-52-1,3(or 4)-methyl-2-propylfuran (unkn.str.)
,methyl-2-propylfuran (unkn.str.)
,2-methyl-propenylfuran (unkn.str.)
10504-05-9,2-isopropyl-5-methylfuran
,isopropylmethylfuran (unkn.str.)
5555-95-3,2-methyl-5-(1-propenyl)furan
10504-12-8,(Z)-2-methyl-5-(1-propenyl)furan
10504-10-6,(E)-2-methyl-5-(1-propenyl)furan
10599-66-3,2-isopropenyl-5-methylfuran
6141-68-0,2-tert-butyl-4-methyl-furan
42908-62-3,3-methyl-2-pentylfuran
15186-51-3,rose furan
,2-methyl-5-(pentenyl)furan (unkn.str.)
5312-82-3,2-hexyl-5-methylfuran
10504-06-0,"2,5-diethylfuran"
126654-91-9,2-ethyl-5-vinylfuran
,davana furan
10599-57-2,"2,3,4-trimethylfuran"
10504-04-8,"2,3,5-trimethylfuran"
74430-19-6,trimethylfuran (unkn.str.)
90024-12-7,ethyl-dimethylfuran (unkn.str.)
59417-63-9,"2,3-dimethyl-5-vinylfuran"
59417-62-8,"3,5-dimethyl-2-vinylfuran"
125972-38-5,dimethyl-2-vinylfuran (unkn.str.)
13679-41-9,3-phenylfuran
38890-45-8,phenylfuran (unkn.str.)
,3-methyl-2-[3-(4-methylphenyl)butyl]furan
5905-00-0,"2,2'-bifuran (=2-(2-furyl)furan, di-(2-furyl))"
17490-66-3,"5,5'-dimethyl-2,2'-bifuran"
27521-86-4,"2,3'-bifuran"
13803-57-1,"3,3'-bifuran (=di-(3-furyl))"
37294-47-6,bifuran (unkn.str.) (=difuryl (unkn.str.))
1197-40-6,"2,2'-methylenebisfuran (=2,2-difurylmethane)"
107716-11-0,"2,3'-methylenebisfuran"
146699-68-5,"3,3'-methylenebisfuran"
,difurylmethane (unkn.str.)
18266-93-8,"(Z)-2,2'-(vinylene)bisfuran"
1439-19-6,"(E)-2,2'-(vinylene)bisfuran"
13678-51-8,"5-methyl-2,2'-methylenebisfuran (=(2-furyl)-(5-methylfuryl-2)methane)"
,"5-methyl-3,3'-methylenebisfuran"
13679-43-1,"5,5'-dimethyl-2,2'-methylenebisfuran"
64280-32-6,"2,4-difurfurylfuran"
496-16-2,"2,3-dihydrobenzofuran (=coumaran)"
1746-11-8,"2,3-dihydro-2-methylbenzofuran"
70786-44-6,"3,9-epoxy-1-menthene (=2,3,3a,4,5,7a-hexahydro-3,6-dimethylbenzofuran, dill ether)"
74410-10-9,"(3S,3aS,7aR)-2,3,3a,4,5,7a-hexahydro-3,6-dimethylbenzofuran (=anethofuran, (3S,3aS,7aR)-dill ether)"
,"(3R,3aR,7aS)-2,3,3a,4,5,7a-hexahydro-3,6-methylbenzofuran (=(3R,3aR,7aS)-dill ether)"
13955-48-1,"(3R,4S,8R)-3,9-epoxy-1-p-menthene"
125811-37-2,linden ether
959304-04-2,"octahydro-3,6-bis(methylene)benzofuran"
271-89-6,benzofuran
4265-25-2,2-methylbenzofuran
17059-52-8,7-methylbenzofuran
25586-38-3,methylbenzofuran (unkn.str.)
3131-63-3,2-ethylbenzofuran
53715-85-8,"2,4-dimethylbenzofuran"
24410-51-3,"2,6-dimethylbenzofuran"
24410-50-2,"3,6-dimethylbenzofuran"
28715-26-6,"4,7-dimethylbenzofuran"
25586-39-4,dimethylbenzofuran (unkn.str.)
7168-85-6,7-methoxybenzofuran
,"(R)-1-(1,3,4,5,6,7-hexahydro-7,7-dimethyl-1-isobenzofuranyl)-2-propanol"
,"(S)-1-(1,3,4,5,6,7-hexahydro-7,7-dimethyl-1-isobenzofuranyl)-2-propanol"
,"(Z)-3-(tetrahydro-5,5-dimethyl-2-furyl)-2-buten-1-ol"
17092-94-3,"actinidol (=2,4,5,7a-tetrahydro-α,4,4,7a-tetramethyl-2-benzofuranmethanol)"
