CAS Number,Compound Name
7782-50-5,chlorine
7726-95-6,bromine
74-87-3,chloromethane
75-09-2,dichloromethane (=methylene chloride)
74-97-5,bromochloromethane
67-66-3,trichloromethane (=chloroform)
56-23-5,tetrachloromethane (=carbon tetrachloride)
75-00-3,1-chloroethane (=ethyl chloride)
107-06-2,"1,2-dichloroethane"
1300-21-6,dichloroethane (unkn.str.)
75-35-4,"1,1-dichloroethene"
156-59-2,"(Z)-1,2-dichloroethylene"
71-55-6,"1,1,1-trichloroethane (=methylchloroform)"
79-00-5,"1,1,2-trichloroethane"
25323-89-1,trichloroethane (unkn.str.)
79-01-6,"1,1,2-trichloroethene (=trichloroethylene)"
25322-20-7,tetrachloroethane (unkn.str.)
127-18-4,tetrachloroethene (=tetrachloroethylene)
75-29-6,2-chloropropane
78-87-5,"1,2-dichloropropane"
25735-29-9,trichloropropane (unkn.str.)
109-69-3,1-chlorobutane
616-13-7,1-chloro-2-methylbutane
629-06-1,1-chloroheptane
821-25-0,"1,1-dichloroheptane"
1002-69-3,1-chlorodecane
3386-33-2,1-chloro-octadecane
4860-03-1,1-chlorohexadecane
111-44-4,1-chloro-2-(1-chloroethoxy)ethane
108-60-1,dichloroisopropyl ether
108-90-7,chlorobenzene
2051-60-7,2-chlorobiphenyl
95-50-1,"1,2-dichlorobenzene"
541-73-1,"1,3-dichlorobenzene"
106-46-7,"1,4-dichlorobenzene"
25321-22-6,dichlorobenzene (unkn.str.)
120-82-1,"1,2,4-trichlorobenzene"
12002-48-1,trichlorobenzene (unkn.str.)
12408-10-5,tetrachlorobenzene (unkn.str.)
100-44-7,benzyl chloride (=(chloromethyl)benzene)
95-49-8,1-chloro-2-methylbenzene
25168-05-2,chloro-methylbenzene (unkn.str.)
766-51-8,2-chloroanisole
2845-89-8,3-chloroanisole
623-12-1,4-chloroanisole
13334-71-9,4-chloro-3-methylanisole
6981-15-3,"4-chloro-3,5-dimethylanisole"
