CAS Number,Compound Name
590-19-2,"1,2-butadiene"
74-82-8,methane
74-84-0,ethane
74-85-1,ethene (=ethylene)
74-86-2,ethyne
74-98-6,propane
115-07-1,1-propene (=propylene)
571-61-9,"1,5-dimethylnaphthalene"
55162-61-3,"3,5,24-trimethyltetracontane"
2131-39-7,"1,3,5-trimethylnaphthalene"
75-28-5,2-methylpropane (=isobutane)
644-08-6,4-methylbiphenyl
115-11-7,2-methyl-1-propene
106-97-8,butane
106-98-9,1-butene
107-01-7,2-butene
624-64-6,(E)-2-butene
590-18-1,(Z)-2-butene
503-17-3,2-butyne
25167-67-3,butene (unkn.str.)
106-99-0,"1,3-butadiene"
78-78-4,2-methylbutane (=isopentane)
75-83-2,"2,2-dimethylbutane"
79-29-8,"2,3-dimethylbutane"
563-46-2,2-methyl-1-butene
563-45-1,3-methyl-1-butene
513-35-9,2-methyl-2-butene
102056-78-0,methylbutene (unkn.str.)
,"1,2,3,4,5-pentamethylcyclopentane"
78-79-5,"2-methyl-1,3-butadiene (=isoprene)"
563-78-0,"2,3-dimethyl-1-butene"
563-79-1,"2,3-dimethyl-2-butene"
59139-36-5,dimethylbutene (unkn.str.)
513-81-5,"2,3-dimethyl-1,3-butadiene"
464-06-2,"2,2,3-trimethylbutane"
594-56-9,"2,3,3-trimethyl-1-butene"
7756-94-7,triisobutylene
109-66-0,pentane
109-67-1,1-pentene
109-68-2,2-pentene
646-04-8,(E)-2-pentene
627-20-3,(Z)-2-pentene
6094-02-6,2-methyl-1-hexene
279-23-2,norbornane
25377-72-4,pentene (unkn.str.)
627-19-0,1-pentyne
159407-35-9,7-epi-sesquithujene
591-95-7,"1,2-pentadiene"
504-60-9,"1,3-pentadiene (=piperylene)"
1574-41-0,"(Z)-1,3-pentadiene"
591-93-5,"1,4-pentadiene"
41050-31-1,pentadiene (unkn.str.)
2206-23-7,3-penten-1-yne
463-82-1,"2,2-dimethylpropane (=neopentane)"
107-83-5,2-methylpentane (=isohexane)
96-14-0,3-methylpentane
43133-95-5,methylpentane (unkn.str.)
763-29-1,2-methyl-1-pentene
625-27-4,2-methyl-2-pentene
922-61-2,3-methyl-2-pentene
691-38-3,(Z)-4-methyl-2-pentene
674-76-0,(E)-4-methyl-2-pentene
54676-39-0,"1,1,3-trimethyl-2-butyl-cyclohexane"
27236-46-0,2-methylpentene (unkn.str.)
816-79-5,3-ethyl-2-pentene
590-35-2,"2,2-dimethylpentane"
565-59-3,"2,3-dimethylpentane"
108-08-7,"2,4-dimethylpentane"
562-49-2,"3,3-dimethylpentane"
609-26-7,2-methyl-3-ethylpentane
1067-08-9,3-ethyl-3-methylpentane
1067-20-5,"3,3-diethylpentane"
3404-72-6,"2,3-dimethyl-1-pentene"
2213-32-3,"2,4-dimethyl-1-pentene"
3404-73-7,"3,3-dimethyl-1-pentene"
7385-78-6,"3,4-dimethyl-1-pentene"
762-62-9,"4,4-dimethyl-1-pentene"
10574-37-5,"2,3-dimethyl-2-pentene"
24910-63-2,"3,4-dimethyl-2-pentene"
4914-91-4,"(Z)-3,4-dimethyl-2-pentene"
4914-92-5,"(E)-3,4-dimethyl 2-pentene"
26232-98-4,"4,4-dimethyl-2-pentene"
690-08-4,"(E)-4,4-dimethyl-2-pentene"
762-63-0,"(Z)-4,4-dimethyl-2-pentene"
540-84-1,"2,2,4-trimethylpentane"
565-75-3,"2,3,4-trimethylpentane"
29222-48-8,trimethylpentane (unkn.str.)
565-77-5,"2,3,4-trimethyl-2-pentene"
1070-87-7,"2,2,4,4-tetramethylpentane"
