CAS Number,Compound Name
66873-38-9,dihydrocolumellarin
19444-84-9,2-hydroxybutanoic acid lactone (=α-butyrolactone)
3068-88-0,3-hydroxybutanoic acid lactone (=β-butyrolactone)
34004-69-8,"3(2H)-Furanone, dihydro-5-isopropyl-"
96-48-0,4-hydroxybutanoic acid lactone
1679-47-6,4-hydroxy-2-methylbutanoic acid lactone (=3-methyltetrahydrofuran-2-one)
1679-49-8,4-hydroxy-3-methylbutanoic acid lactone
79-50-5,"dihydro-3-hydroxy-4,4-dimethyl-2(3H)-furanone"
82000-10-0,4-hydroxy-methylbutanoic acid lactone (unkn.str.)
932-85-4,4-ethoxy-4-hydroxybutanoic acid lactone
26817-24-3,4-(ethoxycarbonyl)-4-hydroxy-butanoic acid lactone
,2-methyl-2-prenyl-4-butanolide
599-04-2,"2,4-dihydroxy-3,3-dimethylbutanoic acid lactone (=pantolactone)"
5469-16-9,β-hydroxybutyrolactone
108-29-2,"4-hydroxypentanoic acid lactone (=γ-valerolactone, 4-pentanolide)"
542-28-9,"5-hydroxypentanoic acid lactone (=δ-pentalactone, tetrahydro-2-pyrone)"
,hydroxypentanoic acid lactone (unkn.str.)
6971-63-7,4-hydroxy-3-methylpentanoic acid lactone
3123-97-5,"4-hydroxy-4-methylpentanoic acid lactone (=4,4-dimethylbutanolide)"
2381-87-5,5-hydroxy-3-methyl-2-pentenoic acid lactone (=anhydromevalolactone)
695-06-7,"4-hydroxyhexanoic acid lactone (=γ-hexalactone, γ-caprolactone, 4-hexanolide)"
63357-95-9,(R)-4-hydroxyhexanoic acid lactone
41035-07-8,(S)-4-hydroxyhexanoic acid lactone
823-22-3,"5-hydroxyhexanoic acid lactone (=δ-caprolactone, δ-hexalactone)"
674-26-0,4-hydroxy-4-methyltetrahydro-2H-pyran-2-one
43112-32-9,(R)-5-hydroxyhexanoic acid lactone (=(R)-δ-hexanolide)
16320-13-1,(S)-5-hydroxyhexanoic acid lactone (=(S)-δ-hexanolide)
502-44-3,6-hydroxyhexanoic acid lactone
21963-38-2,4-hydroxy-5-hexenoic acid lactone
2865-82-9,4-hydroxy-4-methylhexanoic acid lactone
80060-76-0,(Z)-18-Octadec-9-enolide
3720-20-5,5-hydroxy-3-methylhexanoic acid lactone
10413-18-0,5-hydroxy-4-methylhexanoic acid lactone
2610-95-9,5-hydroxy-5-methylhexanoic acid lactone
24405-16-1,trans-5-hydroxy-4-methylhexanoic acid lactone
1073-11-6,"4-hydroxy-4-methyl-5-hexenoic acid lactone (=lavender lactone, 5-methyl-5-vinyldihydro-2(3H)-furanone)"
105814-63-9,"4,5-dihydroxyhexanoic acid γ-lactone (5-ring) (=sherry lactone, dihydrosolerone, solerole)"
56452-73-4,"4,5-dihydroxyhexanoic acid lactone (5-ring), (4S,5S)- (=(4S,5S)-solerol)"
89195-92-6,"4,5-dihydroxyhexanoic acid lactone (5-ring), (4S,5R)- (=(4S,5R)-solerol)"
114420-35-8,"4,5-dihydroxyhexanoic acid lactone (5-ring), (4R,5S)- (=(4R,5S)-solerol)"
114220-37-0,"4,5-dihydroxyhexanoic acid lactone (5-ring), (4R,5R)- (=(4R,5R)-solerol)"
58957-60-1,"4,5-dihydroxyhexanoic acid lactone (unkn.str.)"
78344-33-9,"4,6-dihydroxyhexanoic acid lactone (5-ring)"
,"5,6-dihydroxyhexanoic acid lactone (unkn.str.)"
29393-32-6,4-hydroxy-5-oxohexanoic acid lactone (5-ring) (=solerone)
61262-92-8,(4S)-4-hydroxy-5-oxohexanoic acid lactone (5-ring) (=(4S)-solerone)
81767-46-6,(4R)-4-hydroxy-5-oxohexanoic acid lactone (5-ring) (=(4R)-solerone)
105-21-5,"4-hydroxyheptanoic acid lactone (=4-heptanolide, γ-heptalactone)"
31450-61-0,5-butyl-2(3H)-furanone
88270-38-6,(R)-4-hydroxyheptanoic acid lactone
31323-51-0,(S)-4-hydroxyheptanoic acid lactone
3301-90-4,5-hydroxyheptanoic acid lactone (=δ-heptalactone)
3284-93-3,4-hydroxy-4-methylheptanoic acid lactone
917596-08-8,4-hydroxy-4-ethylheptanoic acid lactone
,4-hydroxy-methylheptanoic acid lactone (unkn.str.)
2319-32-6,5-hydroxy-5-methylheptanoic acid lactone
61892-49-7,4-hydroxy-5-oxoheptanoic acid lactone
41980-00-1,5-hydroxy-6-heptenoic acid lactone
104-50-7,"4-hydroxyoctanoic acid lactone (=4-octanolide, γ-octalactone, 5-butyldihydro-2(3H)-furanone)"
107797-24-0,(R)-4-hydroxyoctanoic acid lactone
107797-25-1,(S)-4-hydroxyoctanoic acid lactone
698-76-0,"5-hydroxyoctanoic acid lactone (=5-octanolide, δ-octalactone)"
108943-45-9,(R)-(-)-5-hydroxyoctanoic acid lactone
108943-46-0,(S)-(+)-5-hydroxyoctanoic acid lactone
39212-23-2,4-hydroxy-3-methyloctanoic acid lactone
55013-32-6,cis-whiskey lactone
39638-67-0,trans-whiskey lactone
3285-00-5,4-hydroxy-4-methyloctanoic acid lactone
68188-98-7,4-hydroxy-4-ethyloctanoic acid lactone
135137-73-4,trans-5-hydroxy-4-methyloctanoic acid lactone
770729-51-6,cis-5-hydroxy-4-methyloctanoic acid lactone
917596-15-7,5-hydroxy-5-methyloctanoic acid lactone
30336-14-2,"4-hydroxy-2-octenoic acid lactone (=2-octen-4-olide, 5-butyl-2(5H)-furanone)"
90292-25-4,(Z)-4-hydroxy-5-octenoic acid lactone (=(Z)-5-octen-4-olide)
147849-67-0,(R)-δ-2-octenolactone
,5-hydroxyoctenoic acid lactone (unkn.str.)
78548-56-8,marmelolactone
74183-60-1,trans-marmelolactone
74133-35-0,cis-marmelolactone
6008-27-1,2-hydroxynonanoic acid lactone (=α-nonalactone)
104-61-0,4-hydroxynonanoic acid lactone
61315-75-1,4-(4-methyl-3-penten-1-yl)-2(5H)-furanone
63357-96-0,(R)-4-hydroxynonanoic acid lactone
63357-97-1,(S)-4-hydroxynonanoic acid lactone
3301-94-8,"5-hydroxynonanoic acid lactone (=5-nonanolide, δ-nonalactone)"
,5-hydroxynonanoic acid lactone (branched)
4054-95-9,5-hydroxynon-4-enoic acid lactone
33673-62-0,4-hydroxy-3-methylnonanoic acid lactone
52908-82-4,4-hydroxy-4-methylnonanoic acid lactone
214263-84-0,4-hydroxy-4-ethylnonanoic acid lactone
14734-40-8,5-hydroxy-5-methylnonanoic acid lactone
,hydroxynonanoic acid lactone (unkn.str.)
10547-84-9,"3,4-dimethyl-5-pentyl-2(5H)-furanone (=dihydrobovolide)"
91401-70-6,"3,5-dimethyl-5-pentyl-2(5H)-furanone"
134359-15-2,ORIN LACTONE
474432-74-1,(5R)-dihydro-5-methyl-5-(4-methyl-3-penten-1-yl)-2(3H)-furanone
474432-73-0,(5S)-dihydro-5-methyl-5-(4-methyl-3-penten-1-yl)-2(3H)-furanone
774-64-1,"3,4-dimethyl-5-pentylidene-2(5H)-furanone (=bovolide)"
75657-23-7,"5-hydroxy-3,4-dimethyl-5-pentyl-2(5H)-furanone (=hydroxybovolide)"
706-14-9,"4-hydroxydecanoic acid lactone (=4-decanolide, γ-decalactone)"
107797-26-2,(R)-4-hydroxydecanoic acid lactone
107797-27-3,(S)-4-hydroxydecanoic acid lactone
77811-13-3,4-hydroxy-1-methyldecanoic acid lactone
7011-83-8,4-hydroxy-4-methyldecanoic acid lactone
14252-84-7,(3E)-jasmone lactone
70851-61-5,5-(cis-3-Hexenyl)dihydro-5-methyl-2(3H)furanone
52935-94-1,4-hydroxy-4-ethyldecanoic acid lactone
121644-12-0,cis-4-hydroxy-3-methyldecanoic acid lactone
705-86-2,"5-hydroxydecanoic acid lactone (=5-decanolide, δ-decalactone)"
2825-91-4,(R)-(-)-5-hydroxydecanoic acid lactone
59285-67-5,(S)-(+)-5-hydroxydecanoic acid lactone
145441-22-1,cis-5-hydroxy-4-methyldecanoic acid lactone
145441-23-2,trans-5-hydroxy-4-methyldecanoic acid lactone
133080-62-3,5-hydroxy-5-methyldecanoic acid lactone
15456-69-6,4-hydroxy-6-dodecenoic acid lactone
18679-18-0,(Z)-4-hydroxy-6-dodecenoic acid lactone
60551-23-7,(E)-4-hydroxy-6-docenoic acid lactone
1286701-14-1,(E)-4-hydroxy-7-dodecenoic acid lactone
1310721-20-0,(Z)-4-hydroxy-7-dodecenoic acid lactone
