CAS Number,Compound Name
79-39-0,methacrylamide
75-05-8,methyl cyanide
104-85-8,4-methylbenzonitrile
107-12-0,propanenitrile (=ethyl cyanide)
107-13-1,2-propenenitrile (=acrylonitrile)
78-82-0,2-methylpropanenitrile (=isobutyronitrile)
3515-93-3,3-cyanopropanal
109-74-0,"butanenitrile (=butyronitrile, propyl cyanide)"
4786-20-3,2-butenenitrile (=crotononitrile) (mixture of cis- and trans-)
627-26-9,(E)-2-butenenitrile
109-75-1,"3-butenenitrile (=allyl cyanide, vinylacetonitrile)"
18936-17-9,2-methylbutanenitrile (=sec-butyl cyanide)
625-28-5,3-methylbutanenitrile (=isobutyl cyanide)
4786-19-0,3-methyl-3-butenenitrile
107407-87-4,(Z)-2-(hydroxymethyl)-2-butenenitrile
107407-88-5,(E)-2-(hydroxymethyl)-2-butenenitrile
83968-04-1,"(R,S)-3-hydroxy-2-methylbutanenitrile"
83968-05-2,"(R,R)-3-hydroxy-2-methylbutanenitrile"
110-59-8,pentanenitrile
3322-62-1,9-Octadecenamide
592-51-8,4-pentenenitrile
27451-36-1,3-hydroxy-4-pentenenitrile
21101-88-2,3-methylpentanenitrile
542-54-1,4-methylpentanenitrile
628-73-9,hexanenitrile
5048-19-1,5-hexenenitrile
19424-34-1,5-methylhexanenitrile
30316-00-8,2-methyl-5-hexenenitrile
629-08-3,heptanenitrile
124-12-9,octanenitrile
2243-27-8,nonanenitrile
1975-78-6,decanenitrile
2437-25-4,dodecanenitrile
629-60-7,tridecanenitrile
629-63-0,tetradecanenitrile
18300-91-9,pentadecanenitrile
629-79-8,hexadecanenitrile
5146-66-7,"3,7-dimethyl-2,6-octadienenitrile (=geranylnitrile)"
100-47-0,benzonitrile
140-29-4,"phenylacetonitrile (=benzyl cyanide, benzeneacetonitrile)"
529-19-1,2-methylbenzonitrile (=o-tolunitrile)
620-22-4,3-methylbenzonitrile (=m-tolunitrile)
25550-22-5,tolunitrile (unkn.str.)
2947-61-7,(methylphenyl)acetonitrile
14191-95-8,4-hydroxyphenylacetonitrile
645-59-0,"3-phenylpropanenitrile (=phenethyl cyanide, benzenepropanenitrile)"
4360-47-8,"3-phenyl-2-propenenitrile (=cinnamonitrile, styryl cyanide)"
4421-08-3,vanillonitrile
100-70-9,2-pyridinecarbonitrile
85526-38-1,nicotinonitrile
771-51-7,3-indoleacetonitrile
624-83-9,methyl isocyanate
111-36-4,butyl isocyanate
103-71-9,phenyl isocyanate
532-28-5,benzaldehydecyanhydrin
926-64-7,(dimethylamino)acetonitrile
1467-79-4,dimethylcyanamide
123-39-7,N-methylformamide
68-12-2,"N,N-dimethylformamide"
75-12-7,formamide
6281-96-5,N-isobutylformamide
23069-99-0,N-(2-phenethyl)formamide
617-84-5,"N,N-diethylformamide"
758-16-7,"N,N-dimethylmethanethioamide"
761-65-9,"N,N-dibutylformamide"
60-35-5,acetamide
79-16-3,N-methylacetamide
625-50-3,N-ethylacetamide
5331-48-6,N-propylacetamide (=N-acetylpropylamine)
1118-69-0,N-isopropylacetamide
1119-49-9,N-butylacetamide
,N-butylacetamide (unkn.str.)
1189-05-5,N-sec-butylacetamide
762-84-5,N-tert-butylacetamide
1540-94-9,N-isobutylacetamide
54824-90-7,N-(2-methylbutyl)acetamide
,N-methylbutylacetamide (unkn.str.)
2524-60-9,N-pentylacetamide
13434-12-3,N-isopentylacetamide
7501-79-3,N-hexylacetamide
1124-53-4,N-cyclohexylacetamide
103-81-1,2-phenylacetamide (=benzeneacetamide)
877-95-2,N-(2-phenethyl)acetamide
5663-62-7,N-furfurylacetamide
10601-67-9,N-butyl-N-methylacetamide
127-19-5,"N,N-dimethylacetamide"
685-91-6,"N,N-diethylacetamide"
1563-90-2,"N,N-dibutylacetamide"
79-05-0,propanamide
563-83-7,2-methylpropanamide (=isobutanamide)
5129-72-6,N-ethylpropanamide
758-96-3,"N,N-dimethylpropanamide"
102-93-2,3-phenylpropanamide
541-35-5,butanamide
541-46-8,3-methylbutanamide (=isovaleramide)
68-19-9,vitamine B12
626-97-1,pentanamide
145398-89-6,"5-(1,3-benzodioxol-5-yl)-N-isobutyl-2-pentenamide"
65937-45-3,"5-(1,3-benzodioxol-5-yl)-N-isobutyl-2,4-pentadienamide"
52868-51-6,"N,N-dibutylhexanamide"
18836-52-7,"(E,E)-N-isobutyl-2,4-decadienamide (=pellitorine)"
24738-51-0,"(E,E)-N-isobutyl-2,4-dodecadienamide"
629-54-9,hexadecanamide
7388-58-1,N-methylhexadecanamide
54794-69-3,"(E,E)-N-isobutyl-2,4-hexadecadienamide"
54794-70-6,"(E,E)-N-isobutyl-2,4-octadecadienamide"
,N-isobutyloctadecatrienamide (unkn.str.)
54794-71-7,"N-isobutyl-2,4-eicosadienamide"
55-21-0,benzamide
632-22-4,tetramethylurea
110-69-0,butanal oxime
57-71-6,"2,3-butanedione monoxime"
155167-54-7,2-methylbutanal O-methyloxime
15813-85-1,(1E)-2-methylbutanal O-methyloxime
15813-86-2,(1Z)-2-methylbutanal O-methyloxime
626-90-4,3-methylbutanal oxime
155167-55-8,3-methylbutanal O-methyloxime
15813-77-1,(1E)-3-methylbutanal O-methyloxime
15813-78-2,(1Z)-3-methylbutanal O-methyloxime
22457-23-4,5-methyl-3-heptanone oxime
75-52-5,nitromethane
646-14-0,1-nitrohexane
79-46-9,2-nitropropane
625-74-1,2-methyl-1-nitropropane
627-67-8,3-methyl-1-nitrobutane
628-05-7,1-nitropentane
72183-50-7,2-methyl-4-nitro-2-butanol
98-95-3,nitrobenzene
6125-24-2,(2-nitroethyl)benzene
88-75-5,2-nitrophenol
554-84-7,3-nitrophenol
100-02-7,4-nitrophenol
119-33-5,2-nitro-4-methylphenol
83-66-9,"1-tert-butyl-2-methoxy-4-methyl-3,5-dinitrobenzene"
99-55-8,2-methyl-5-nitroaniline
