CAS Number,Compound Name
58006-99-8,"3,5-dimethyl-1,3-oxazolidine-2,4-dione"
30969-75-6,oxazoline (unkn.str.)
77311-01-4,2-methyl-3-oxazoline
75-56-9,"1,2-epoxypropane"
77311-02-5,"2,4-dimethyl-3-oxazoline"
84272-63-9,"2,5-dimethyl-3-oxazoline"
22694-96-8,"2,4,5-trimethyl-3-oxazoline"
60633-22-9,"5-ethyl-2,4-dimethyl-3-oxazoline"
60633-23-0,"4-ethyl-2,5-dimethyl-3-oxazoline"
59-49-4,2(3H)-benzoxazolone (=2-benzoxazolinone)
288-42-6,oxazole
54300-19-5,2-ethyloxazole
54300-20-8,4-ethyloxazole
32999-02-3,5-ethyloxazole
,2(or 4)-butyloxazole (unkn.str.)
79886-36-5,4-butyloxazole
77311-06-9,5-butyloxazole
77311-05-8,2-pentyloxazole
20662-88-8,2-phenyloxazole
7208-05-1,"2,4-dimethyloxazole"
23012-11-5,"2,5-dimethyloxazole"
20662-83-3,"4,5-dimethyloxazole"
,dimethyloxazole (unkn.str.)
24667-03-6,2-ethyl-4-methyloxazole
42463-54-7,2-ethyl-5-methyloxazole
53833-20-8,4-ethyl-2-methyloxazole
53833-28-6,4-ethyl-5-methyloxazole
53833-29-7,5-ethyl-2-methyloxazole
29584-92-7,5-ethyl-4-methyloxazole
,ethylmethyloxazole (unkn.str.)
,ethyl-2-isopropyloxazole (unkn.str.)
80935-99-5,2-methyl-5-propyloxazole
53833-31-1,5-methyl-2-propyloxazole
106100-40-7,2-isopropyl-4(or 5)-methyloxazole (unkn.str.)
84027-87-2,4-butyl-2-methyloxazole
,4-butyl-2(or 5)-methyloxazole (unkn.str.)
77311-04-7,5-butyl-2-ethyloxazole
102586-52-7,2-methyl-4-pentyloxazole
52713-58-3,4-methyl-2-pentyloxazole
,methylpentyloxazole (unkn.str.)
79886-43-4,4-ethyl-5-pentyloxazole
104638-12-2,"4,5-dibutyloxazole"
78503-09-0,5-acetyl-2-methyloxazole
20662-84-4,trimethyloxazole
33318-74-0,"5-ethyl-2,4-dimethyloxazole"
30408-61-8,"4-ethyl-2,5-dimethyloxazole"
53833-30-0,"2-ethyl-4,5-dimethyloxazole"
84027-86-1,"2,4-dimethyl-5-propyloxazole"
30674-60-3,"2,5-dimethyl-4-propyloxazole"
53833-32-2,"4,5-dimethyl-2-propyloxazole"
19519-45-0,"2-isopropyl-4,5-dimethyloxazole"
26131-91-9,"2-isobutyl-4,5-dimethyloxazole"
84027-97-4,"2-butyl-4,5-dimethyloxazole"
30408-62-9,"4-butyl-2,5-dimethyloxazole"
88300-07-6,"5-butyl-2,4-dimethyloxazole"
84028-05-7,"4,5-dimethyl-2-pentyloxazole"
77311-03-6,"2,4-diethyl-5-propyloxazole"
94794-08-8,"2-butyl-4,5-diethyloxazole"
102586-53-8,2-ethyl-4-methyl-5-propyloxazole
88300-06-5,4-ethyl-2-methyl-5-propyloxazole
84027-92-9,5-ethyl-2-methyl-4-propyloxazole
106123-28-8,ethylmethyl-4-propyloxazole (unkn.str.)
84027-96-3,4-ethyl-2-isopropyl-5-methyloxazole
102586-54-9,5-ethyl-2-isopropyl-4-methyloxazole
106100-44-1,ethyl-2-isopropylmethyloxazole (unkn.str.)
84028-02-4,2-butyl-5-ethyl-4-methyloxazole
84028-03-5,2-butyl-4-ethyl-5-methyloxazole
84027-98-5,5-butyl-4-ethyl-2-methyloxazole
106100-43-0,5-butylethylmethyloxazole (unkn.str.)
,4-ethyl-2-isobutyl-5-methyloxazole
94794-09-9,2-butyl-5-methyl-4-propyloxazole
84028-13-7,5-ethyl-4-methyl-2-pentyloxazole
20662-87-7,"2-hexyl-4,5-dimethyloxazole"
20662-86-6,"4-hexyl-2,5-dimethyloxazole"
20662-85-5,"5-hexyl-2,4-dimethyloxazole"
,"4,5-diethyl-2-pentyloxazole"
84028-19-3,5-ethyl-2-hexyl-4-methyloxazole
88300-08-7,"2,5-dibutyl-4-methyloxazole"
104638-08-6,"4,5-dibutyl-2-methyloxazole"
,"2-pentyl-4,5-dipropyloxazole"
77311-07-0,2-acetyloxazole
23012-25-1,"5-acetyl-2,4-dimethyloxazole"
273-53-0,benzoxazole
95-21-6,2-methylbenzoxazole
107165-67-3,4-methylbenzoxazole
72692-90-1,"2,4-dimethylbenzoxazole"
5676-58-4,"2,5-dimethylbenzoxazole"
53012-61-6,"2,6-dimethylbenzoxazole"
7064-40-6,"4,5-dimethylisoxazole"
110-91-8,morpholine
109-02-4,4-methylmorpholine
100-74-3,N-ethylmorpholine
