CAS Number,Compound Name
3681-93-4,vitexin
554-35-8,linamarine
17388-39-5,Swertiamarin
14215-86-2,Sweroside
20831-76-9,Gentiopicroside
22255-40-9,Logan acid
21018-84-8,amarogentine
58-86-6,d-Xylose
50-69-1,D-Ribose
597-12-6,melezitose
53188-23-1,fructose
57-50-1,sucrose
133-99-3,maltose
50-99-7,D-glucose
5328-37-0,l-Arabinose
3615-41-6,L-Rhamnose
147742-24-3,isopropyl apiosylglucoside
153-18-4,rutin
77363-65-6,myricetin-3-glucuronide
19833-12-6,myricetin-3-glucoside
482-35-9,quercetin-3-glucuronide
207671-50-9,rutin hydrate
480-10-4,kaempherol-3-glucoside
50986-17-9,delphinidin-3-glucoside
,cyanidin-3-glucoside
71991-88-3,petunidin-3-glucoside
18470-06-9,malvidin-3-glucoside
101072-66-6,malvidin-3-acetylglucoside
68795-37-9,peonidin-3-glucoside
534-67-8,lotaustralin
,malvidin-3-cis-p-coumaroylglucoside
,malvidin-3-caffeoylglucoside
,petunidin-3-p-coumaroylglucoside
,malvidin-3-trans-p-coumaroylglucoside
17912-87-7,myricitrin
17429-69-5,isorhamnetin 3-gentiobioside
17331-29-2,isorhamnetin 3-sophoroside-7-glucoside
80714-53-0,kaempferol 3-sophorotrioside
22149-35-5,kaempferol 3-gentiobioside
,quercetin 3-sophoroside 7-glucoside
55136-76-0,kaempferol 3-sophoroside 7-glucoside
,kaempferol 3-O-sinapoyl-sophoroside 7-O-glucoside
,kaempferol 3-O-feruloyl-sophoroside 7-O-glucoside
