,PC1,PC2,PC3
NOBIRU (Allium grayi Regal),0.6879689006209421,0.11142911991358417,2.513396731859902
BRUSSELS SPROUTS (Brassica oleracea var gemmifera),0.6605438289677151,-0.3735328785497136,1.3529137112236849
LEEK (Allium porrum L.) (raw),0.5419672561733275,-0.5182161492395081,-0.4578794207259933
LEEK (Allium porrum L.) (heated),0.3388968726115073,-0.1502166383161785,0.4591178704685702
CELERY LEAVES and or STALKS,0.6719340043320585,-0.41437253599364593,0.3555892347164267
KOHLRABI,0.6727425723601848,-0.39145184889164003,1.553077795274978
CHILI PEPPER PERICARP (C. chinense×C. frutescens),0.6512183266605123,-0.3608003694349542,1.504723298895371
CAULIFLOWER (raw),-0.21178664106633102,-0.3739648832301032,1.3920372212196255
BROCCOLI (raw),0.46170181885570905,-0.37738367278483637,1.3003131539772776
KALE,0.22498607759378772,-0.45526788723941675,2.295517462029037
SHALLOT (Allium cepa L. aggregatum),0.590264499952888,-0.4212102286530708,0.7715883127479709
CHILI PEPPER PLACENTA (C. annuum),0.6535850849806881,-0.3662608098656832,1.5094279134577
BEETROOT (raw),0.28404389233085936,-0.37048954866897943,1.1508567943601213
CAPSICUM CHINENSE,0.6879760950924182,-0.3964455206878292,0.7071662309771108
CHIVE (Allium schoenoprasum L.),0.5436826134000614,-0.5026968192007387,0.37004389036185936
"GARLIC (BAKED, FRIED)",0.6947967974221293,-0.35117897486268396,1.6979701876422038
CHILI PEPPER PLACENTA (C. chinense),0.6518569952331714,-0.36206749833535556,1.5045055880068812
BEANS (heated),-0.45762984791818134,-0.6252695450121464,-3.0146341002124806
CHINESE CABBAGE,0.6512026631741694,-0.38199282550094954,1.216116148127096
CHILI PEPPER (capsicum frutescens),0.5855597490738561,-0.8362605534699533,-0.6304281637766429
"PAPRIKA, BELL SWEET PEPPER(capsicum annuum) uncat.",0.012733742650542761,-0.6909781891518461,-3.995939288790432
BEANS (raw),-0.07262537043189653,-0.3412777918442233,-0.1979052078338591
CABBAGE (raw),0.27323952730380446,-0.4943753428034801,-0.3601180117622708
ONION (Allium cepa L.) (cooked),0.6504146935469608,-0.3541619374513345,1.5173050173847442
CHILI PEPPER PLACENTA (C. baccatum),0.6506333076264753,-0.36105461937906436,1.4887970519071554
GARLIC (Allium sativum L.),0.8517993172352675,-0.4033963283823078,2.390372074617898
CHILI PEPPER PERICARP (C. baccatum),0.650672354479123,-0.3606694232180257,1.4925919545902804
BEETROOT (cooked),0.6998324919827298,-0.3832854053405258,1.1919478474656615
JERUSALEM ARTICHOKE (Helianthus tuberosus),0.652412181893671,-0.3568922420739609,1.5305632600263641
CARROT (Daucus carota L.),0.5161749045880428,-0.3967517192938822,1.784995988597638
ONION (Allium cepa L.) (roasted),1.6090397453204535,-0.7386293474644069,-4.011209820998045
CAUCAS (Allium victoralis L.),0.5735145673782766,-0.38267009456115914,1.2573463551957365
ASPARAGUS (cooked),0.6470587895889418,-0.3530340145487003,1.9273679525815985
NIRA (Allium tuberosum Rottl.),0.6554028737186386,-0.34155824023689796,1.9052999133429032
CHILI PEPPER PERICARP (C. chinense),0.6511788870899269,-0.3614318546279802,1.5008282354935722
GARLIC ESSENTIAL OIL,0.7007491245054063,-0.09583341385809833,1.8870802749073285
CHILI PEPPER PLACENTA (C. chinense×C. frutescens),0.6522272793110827,-0.3634607628810621,1.5062954244847815
CABBAGE (cooked),0.4279730916588044,-0.3606379407373889,1.4228128567632619
"GREEN PAPRIKA, BELL SWEET PEPPER (capsicum annuum)",0.6546343697729817,-0.36003491218416733,1.5454564461867557
ONION (Allium cepa L.),0.2393241817896116,-0.6806594022997093,-1.1267544934410196
SCALLION (Allium fistulosum L. var. caespitosum),0.6935843972544071,-0.4204792973405099,1.829367077627901
CAULIFLOWER (cooked),0.6621617411499368,-0.366475727268668,1.4708344868701206
WELSH ONION (Allium fistulosum L. var. maichuon),0.699985902084803,-0.4305404738545331,1.8768985024211857
CASSAVA (Manihot esculenta Crantz),0.20252278702751456,-0.47940370110160363,-0.40494708537884944
ASPARAGUS (raw),2.307406262910575,-0.5348356685018035,-3.7758832364400976
BROCCOLI (cooked),0.6503787453486304,-0.36577511642994254,1.393591607671826
"AUBERGINE, EGGPLANT (Solanum melongena L.)",0.6473281248507728,-0.37246639558648975,1.3881466505626194
TURNIP,0.6488754211190099,-0.37828586259942365,1.1771160377812002
GLOBE ARTICHOKE (Cynara scolymus L.),0.6504092191249844,-0.35500398350201584,1.5174014433682552
CHILI PEPPER PERICARP (C. annuum),0.6512248220519024,-0.36241103062020324,1.4992991273604217
"RED PAPRIKA, BELL SWEET PEPPER (capsicum annuum)",0.6573755213122485,-0.36400703223207015,1.562952449319885
BLACK TEA,-8.846553607575263,-10.339006337326934,-252.74489594083968
SENCHA TEA (GREEN TEA),1.3923575284899348,-1.3819609884499773,-8.345193052052068
RED OOLONG TEA (brewed),0.6435257879119267,-0.40229554625752284,0.4910780933302445
GREEN TEA (roasted),1.2179423047450901,-0.43988263007982353,0.23561285695675188
PURPLE BLACK TEA,0.24904447753598188,-0.38079792257065126,0.7283530741252257
CHRYSANTHEMUM KOMBUCHA (fermented for,0.6519589419573117,-0.3003179172584188,1.4340362947472596
WHITE TEA KOMBUCHA (fermented for,0.6508551983203739,0.47448605892883505,1.390265758581489
COCOA BEANS (fermented w o inoculum and dried),0.6818495235421616,-0.3755686558199111,1.2374585113947831
BLACK TEA KOMBUCHA (fermented for,0.652583228851914,0.6160204255301834,1.3279834870106604
GREEN TEA (powder),0.6504146876416402,-0.3541619201838742,1.5173049144324822
MICROBIAL FERMENTED (DARK) TEA,1.4573780361305064,-0.5568429196947707,-0.40561045817340635
MILK CHOCOLATE,1.5394054764197906,-0.4914869107044472,-0.39106005718704456
DARK CHOCOLATE,0.7572670816733702,-0.47065962834995656,-0.5915554484632983
CHAMOMILE TEA (Matricaria chamomilla),0.6524799578200147,-0.3531429219303763,1.5301942186029012
PARTIALLY FERMENTED TEA,0.6929007016127108,-0.4340584176461793,0.5631587805533831
GREEN TEA KOMBUCHA (fermented for,0.650286192851812,-0.04730092925951926,1.4067723790296225
BLACK TEA (brewed),0.3591421921391433,-0.44122741295360113,-0.8647126095970418
GREEN MATE,0.63064618366676,-0.49122508968657597,-2.4005421304363352
PURPLE GREEN TEA,0.4871026544374791,-0.39891366046658405,0.37617905780126015
GREEN TEA,2.2852888688280943,-0.7947520337956152,-6.988026435489729
QIMEN BLACK TEA,0.6504145001998239,-0.35416339743978925,1.5173034725255155
OOLONG TEA (brewed),0.73767328677815,-0.40502832988189147,0.5845375325307673
PEPPERMINT TEA (Mentha x piperita),0.6525328961560852,-0.3576640350382616,1.5326149044513335
HONEYSUCKLE KOMBUCHA (fermented for,0.6512548688408861,-0.3308446649821507,1.467612162898501
GYOKURO TEA (GREEN TEA),1.3540716082966442,-0.8394825393493043,-1.5698635510351597
COCOA BEANS (P. kudriavzevii fermented and dried),0.6664755156792195,-0.3757000174261811,1.1219880861687537
ROOIBOS TEA (Aspalathus linearis),-2.4664948622577434,-0.5460676580490008,-6.420184504620512
DARJEELING TEA (BLACK TEA),0.6356567054911878,-0.38000092372488276,0.8862795846581333
COLOMBIAN COFFEE (green),0.8035776348495085,-0.3518020784732588,1.621833462835092
COCOA BEANS (ferment. w.,0.676049604739514,-0.36638050047868215,1.282245865076374
DARJEELING TEA (BLACK TEA) (brewed),0.6454223013293848,-0.40964056037873847,0.3285831880004493
MINT KOMBUCHA (fermented for,0.6505481672038582,-0.33439912295168595,1.4180497898407065
